| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
|  773 | SPAT0131-SLIT0773-DET01 |       131.1 |        0.075 |      3.00 |    2.723 |  15.12 |  0.385 |
|  773 | SPAT0654-SLIT0773-DET01 |       653.9 |        0.423 |      3.00 |    2.052 |  60.32 |  0.385 |
|  773 | SPAT0800-SLIT0773-DET01 |       799.6 |        0.518 |      3.00 |    2.556 |   7.61 |  0.385 |
|  773 | SPAT0866-SLIT0773-DET01 |       865.9 |        0.561 |      3.00 |   13.792 |  23.65 |  0.385 |
|  773 | SPAT0879-SLIT0773-DET01 |       878.9 |        0.570 |      3.00 |    9.508 |  11.46 |  0.385 |
|  773 | SPAT0897-SLIT0773-DET01 |       896.9 |        0.584 |      3.00 |    1.733 |  20.19 |  0.385 |
|  773 | SPAT0943-SLIT0773-DET01 |       943.3 |        0.612 |      3.00 |   16.207 |  45.75 |  0.385 |
|  773 | SPAT0979-SLIT0773-DET01 |       978.7 |        0.636 |      3.00 |   17.420 | 137.33 |  0.385 |
|  773 | SPAT1023-SLIT0773-DET01 |      1022.6 |        0.665 |      3.00 |   76.920 |  16.43 |  0.385 |
|  773 | SPAT1040-SLIT0773-DET01 |      1039.8 |        0.677 |      3.00 |   18.790 |   9.06 |  0.385 |
|  773 | SPAT1047-SLIT0773-DET01 |      1047.1 |        0.681 |      3.00 |   32.668 |  41.26 |  0.385 |
|  773 | SPAT1060-SLIT0773-DET01 |      1060.2 |        0.690 |      3.00 |   14.321 |   9.78 |  0.385 |
|  773 | SPAT1067-SLIT0773-DET01 |      1067.4 |        0.695 |      3.00 |   36.473 |  34.04 |  0.385 |
|  773 | SPAT1150-SLIT0773-DET01 |      1149.5 |        0.749 |      3.00 |    0.944 | 298.62 |  0.385 |
|  773 | SPAT1225-SLIT0773-DET01 |      1224.9 |        0.799 |      3.00 |   32.325 | 172.12 |  0.385 |
|  773 | SPAT1247-SLIT0773-DET01 |      1246.7 |        0.813 |      3.00 |   12.015 |  60.47 |  0.385 |
|  773 | SPAT1277-SLIT0773-DET01 |      1276.7 |        0.834 |      3.00 |    2.074 |   9.93 |  0.385 |
|  773 | SPAT1295-SLIT0773-DET01 |      1294.8 |        0.846 |      3.00 |   11.195 |  11.59 |  0.385 |
|  773 | SPAT1309-SLIT0773-DET01 |      1308.6 |        0.855 |      3.00 |    7.952 |  22.74 |  0.385 |
|  773 | SPAT1329-SLIT0773-DET01 |      1329.2 |        0.869 |      3.00 |    9.847 |  21.44 |  0.385 |
|  773 | SPAT1393-SLIT0773-DET01 |      1392.6 |        0.908 |      3.00 |    3.741 |  71.65 |  0.385 |
|  773 | SPAT1422-SLIT0773-DET01 |      1421.9 |        0.931 |      3.00 |   13.270 |  10.92 |  0.385 |
|  773 | SPAT1434-SLIT0773-DET01 |      1433.8 |        0.938 |      3.00 |    6.780 |   5.40 |  0.385 |
