| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |     s2n | wv_rms |
|  773 | SPAT0132-SLIT0773-DET01 |       132.2 |        0.076 |      3.00 |    1.969 |   91.44 |  0.385 |
|  773 | SPAT0653-SLIT0773-DET01 |       653.2 |        0.422 |      3.00 |    2.518 |  140.47 |  0.385 |
|  773 | SPAT0800-SLIT0773-DET01 |       799.9 |        0.518 |      3.00 |    1.594 |   91.24 |  0.385 |
|  773 | SPAT0877-SLIT0773-DET01 |       877.2 |        0.568 |      3.00 |   18.604 |  251.51 |  0.385 |
|  773 | SPAT0897-SLIT0773-DET01 |       896.8 |        0.584 |      3.00 |    2.309 |   78.09 |  0.385 |
|  773 | SPAT0944-SLIT0773-DET01 |       943.5 |        0.612 |      3.00 |    8.549 |  205.50 |  0.385 |
|  773 | SPAT0974-SLIT0773-DET01 |       974.4 |        0.633 |      3.00 |   45.495 |  498.23 |  0.385 |
|  773 | SPAT1022-SLIT0773-DET01 |      1022.2 |        0.665 |      3.00 |   45.681 |  582.56 |  0.385 |
|  773 | SPAT1041-SLIT0773-DET01 |      1041.1 |        0.677 |      3.00 |   34.507 |  513.18 |  0.385 |
|  773 | SPAT1053-SLIT0773-DET01 |      1053.0 |        0.685 |      3.00 |   39.326 |  561.87 |  0.385 |
|  773 | SPAT1059-SLIT0773-DET01 |      1058.7 |        0.689 |      3.00 |   36.372 |  530.53 |  0.385 |
|  773 | SPAT1150-SLIT0773-DET01 |      1149.6 |        0.749 |      3.00 |    0.874 |  344.70 |  0.385 |
|  773 | SPAT1247-SLIT0773-DET01 |      1246.5 |        0.813 |      3.00 |   67.611 |  931.47 |  0.385 |
|  773 | SPAT1277-SLIT0773-DET01 |      1276.6 |        0.834 |      3.00 |    4.787 |  294.60 |  0.385 |
|  773 | SPAT1295-SLIT0773-DET01 |      1294.7 |        0.846 |      3.00 |   33.392 |  666.15 |  0.385 |
|  773 | SPAT1314-SLIT0773-DET01 |      1313.9 |        0.859 |      3.00 |  107.792 | 1036.08 |  0.385 |
|  773 | SPAT1320-SLIT0773-DET01 |      1320.5 |        0.863 |      3.00 |  199.204 | 1306.40 |  0.385 |
|  773 | SPAT1393-SLIT0773-DET01 |      1392.6 |        0.908 |      3.00 |    4.657 |  280.73 |  0.385 |
|  773 | SPAT1424-SLIT0773-DET01 |      1423.8 |        0.932 |      3.00 |    1.816 |  234.52 |  0.385 |
|  773 | SPAT1438-SLIT0773-DET01 |      1437.9 |        0.941 |      3.00 |    2.400 |  261.17 |  0.385 |
