| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|  773 | SPAT0178-SLIT0773-DET01 |       177.6 |        0.104 |      3.00 |    1.153 |  0.13 |  0.423 |
|  773 | SPAT0189-SLIT0773-DET01 |       188.9 |        0.112 |      3.00 |    2.056 |  0.02 |  0.423 |
|  773 | SPAT0409-SLIT0773-DET01 |       409.2 |        0.258 |      3.00 |    1.945 |  0.51 |  0.423 |
|  773 | SPAT0633-SLIT0773-DET01 |       632.8 |        0.406 |      3.00 |    1.129 |  1.05 |  0.423 |
|  773 | SPAT0656-SLIT0773-DET01 |       656.4 |        0.422 |      3.00 |    0.899 | 33.16 |  0.423 |
|  773 | SPAT0980-SLIT0773-DET01 |       979.9 |        0.637 |      3.00 |    0.814 |  0.79 |  0.423 |
|  773 | SPAT1229-SLIT0773-DET01 |      1228.6 |        0.803 |      3.00 |    9.563 |  0.70 |  0.423 |
|  773 | SPAT1241-SLIT0773-DET01 |      1240.6 |        0.811 |      3.00 |    9.761 |  0.76 |  0.423 |
|  773 | SPAT1260-SLIT0773-DET01 |      1260.0 |        0.824 |      3.00 |    9.771 |  0.90 |  0.423 |
|  773 | SPAT1270-SLIT0773-DET01 |      1269.8 |        0.830 |      3.00 |    9.817 |  0.66 |  0.423 |
