| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
| 1039 | SPAT0781-SLIT1039-DET01 |       780.6 |        0.113 |      3.00 |    2.113 |  -0.06 |  0.054 |
| 1039 | SPAT0821-SLIT1039-DET01 |       820.5 |        0.175 |      3.00 |    1.755 |  -0.08 |  0.054 |
| 1039 | SPAT0854-SLIT1039-DET01 |       854.3 |        0.227 |      3.00 |    7.835 |  -0.11 |  0.054 |
| 1039 | SPAT0876-SLIT1039-DET01 |       876.1 |        0.262 |      3.00 |   15.002 |   0.31 |  0.054 |
| 1039 | SPAT0898-SLIT1039-DET01 |       897.8 |        0.296 |      3.00 |   10.060 |   0.54 |  0.054 |
| 1039 | SPAT0940-SLIT1039-DET01 |       940.1 |        0.361 |      3.00 |    0.704 | 105.79 |  0.054 |
| 1039 | SPAT0992-SLIT1039-DET01 |       991.5 |        0.441 |      3.00 |   15.363 |   0.33 |  0.054 |
| 1039 | SPAT1008-SLIT1039-DET01 |      1008.0 |        0.468 |      3.00 |   21.144 |   0.15 |  0.054 |
| 1039 | SPAT1017-SLIT1039-DET01 |      1017.2 |        0.481 |      3.00 |   31.849 |  -0.03 |  0.054 |
| 1039 | SPAT1035-SLIT1039-DET01 |      1035.0 |        0.510 |      3.00 |    2.785 |  -0.11 |  0.054 |
