| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
| 1039 | SPAT0729-SLIT1039-DET01 |       728.9 |        0.019 |      3.00 |   39.621 |  18.88 |  0.054 |
| 1039 | SPAT0740-SLIT1039-DET01 |       740.4 |        0.037 |      3.00 |   36.256 |  30.25 |  0.054 |
| 1039 | SPAT0756-SLIT1039-DET01 |       755.9 |        0.061 |      3.00 |   28.807 |  39.01 |  0.054 |
| 1039 | SPAT0786-SLIT1039-DET01 |       785.5 |        0.106 |      3.00 |   23.206 |  15.86 |  0.054 |
| 1039 | SPAT0792-SLIT1039-DET01 |       792.1 |        0.117 |      3.00 |   22.306 |  15.82 |  0.054 |
| 1039 | SPAT0835-SLIT1039-DET01 |       834.7 |        0.185 |      3.00 |   19.373 |  11.81 |  0.054 |
| 1039 | SPAT0912-SLIT1039-DET01 |       912.5 |        0.305 |      3.00 |    1.723 |   1.28 |  0.054 |
| 1039 | SPAT0941-SLIT1039-DET01 |       941.3 |        0.349 |      3.00 |    0.654 |   1.98 |  0.054 |
| 1039 | SPAT1117-SLIT1039-DET01 |      1116.8 |        0.622 |      3.00 |    0.785 | 142.70 |  0.054 |
| 1039 | SPAT1187-SLIT1039-DET01 |      1186.9 |        0.732 |      3.00 |    1.877 |  -0.20 |  0.054 |
