| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1037 | SPAT0760-SLIT1037-DET01 |       760.0 |        0.070 |      3.00 |   15.829 |  0.22 |  0.055 |
| 1037 | SPAT0777-SLIT1037-DET01 |       776.8 |        0.095 |      3.00 |    1.893 |  1.35 |  0.055 |
| 1037 | SPAT0807-SLIT1037-DET01 |       806.7 |        0.142 |      3.00 |    0.785 | 19.56 |  0.055 |
| 1037 | SPAT0906-SLIT1037-DET01 |       905.9 |        0.297 |      3.00 |    0.940 |  0.16 |  0.055 |
| 1037 | SPAT0928-SLIT1037-DET01 |       928.2 |        0.331 |      3.00 |    0.677 |  0.42 |  0.055 |
| 1037 | SPAT0964-SLIT1037-DET01 |       964.1 |        0.387 |      3.00 |    1.643 |  0.32 |  0.055 |
| 1037 | SPAT0981-SLIT1037-DET01 |       981.0 |        0.415 |      3.00 |    0.955 |  0.07 |  0.055 |
| 1037 | SPAT1075-SLIT1037-DET01 |      1075.1 |        0.560 |      3.00 |    1.183 |  0.25 |  0.055 |
| 1037 | SPAT1252-SLIT1037-DET01 |      1252.2 |        0.837 |      3.00 |    3.795 |  0.29 |  0.055 |
| 1037 | SPAT1284-SLIT1037-DET01 |      1284.4 |        0.887 |      3.00 |    2.489 |  0.11 |  0.055 |
