| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
| 1037 | SPAT0829-SLIT1037-DET01 |       829.4 |        0.178 |      3.00 |   51.969 | -75.05 |  0.055 |
| 1037 | SPAT0847-SLIT1037-DET01 |       846.6 |        0.204 |      3.00 |   51.728 | -65.80 |  0.055 |
| 1037 | SPAT0860-SLIT1037-DET01 |       860.5 |        0.225 |      3.00 |   42.052 | -59.77 |  0.055 |
| 1037 | SPAT0883-SLIT1037-DET01 |       883.2 |        0.262 |      3.00 |   37.504 | -54.19 |  0.055 |
| 1037 | SPAT0933-SLIT1037-DET01 |       933.0 |        0.338 |      3.00 |    0.731 |  97.35 |  0.055 |
| 1037 | SPAT0996-SLIT1037-DET01 |       996.3 |        0.437 |      3.00 |   42.043 | -39.54 |  0.055 |
| 1037 | SPAT1006-SLIT1037-DET01 |      1006.3 |        0.453 |      3.00 |   51.445 | -42.96 |  0.055 |
| 1037 | SPAT1020-SLIT1037-DET01 |      1020.2 |        0.476 |      3.00 |   52.039 | -41.49 |  0.055 |
| 1037 | SPAT1030-SLIT1037-DET01 |      1029.9 |        0.490 |      3.00 |   51.967 | -40.90 |  0.055 |
| 1037 | SPAT1263-SLIT1037-DET01 |      1263.2 |        0.853 |      3.00 |    2.572 |  -1.89 |  0.055 |
