| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n |
|  336 | SPAT0017-SLIT0336-DET01 |        16.5 |        0.008 |      3.00 |    0.412 |   6.14 |
|  336 | SPAT0032-SLIT0336-DET01 |        31.7 |        0.031 |      3.00 |    1.254 |   2.69 |
|  336 | SPAT0069-SLIT0336-DET01 |        69.2 |        0.089 |      3.00 |    8.464 |   1.13 |
|  336 | SPAT0082-SLIT0336-DET01 |        82.3 |        0.112 |      3.00 |   18.058 |   1.47 |
|  336 | SPAT0089-SLIT0336-DET01 |        89.4 |        0.122 |      3.00 |    8.108 |   1.02 |
|  336 | SPAT0248-SLIT0336-DET01 |       247.9 |        0.365 |      3.00 |    0.615 |   0.47 |
|  336 | SPAT0369-SLIT0336-DET01 |       369.4 |        0.552 |      3.00 |    0.796 | 144.14 |
|  336 | SPAT0430-SLIT0336-DET01 |       430.4 |        0.645 |      3.00 |    2.481 |   0.52 |
|  336 | SPAT0635-SLIT0336-DET01 |       634.7 |        0.959 |      3.00 |    7.383 |   0.81 |
|  336 | SPAT0651-SLIT0336-DET01 |       651.4 |        0.989 |      3.00 |   18.010 |   0.80 |
