| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
| 1038 | SPAT0770-SLIT1038-DET01 |       769.8 |        0.085 |      3.00 |   33.262 | 1.13 |  0.049 |
| 1038 | SPAT0802-SLIT1038-DET01 |       801.6 |        0.134 |      3.00 |    5.635 | 1.28 |  0.049 |
| 1038 | SPAT0835-SLIT1038-DET01 |       835.0 |        0.187 |      3.00 |   19.703 | 0.77 |  0.049 |
| 1038 | SPAT0862-SLIT1038-DET01 |       862.2 |        0.230 |      3.00 |    1.041 | 0.07 |  0.049 |
| 1038 | SPAT0937-SLIT1038-DET01 |       937.2 |        0.345 |      3.00 |    0.832 | 0.60 |  0.049 |
| 1038 | SPAT1014-SLIT1038-DET01 |      1014.0 |        0.464 |      3.00 |    0.680 | 9.32 |  0.049 |
| 1038 | SPAT1118-SLIT1038-DET01 |      1118.3 |        0.627 |      3.00 |    1.784 | 0.05 |  0.049 |
| 1038 | SPAT1169-SLIT1038-DET01 |      1168.6 |        0.705 |      3.00 |    1.419 | 0.04 |  0.049 |
| 1038 | SPAT1310-SLIT1038-DET01 |      1310.4 |        0.927 |      3.00 |    1.149 | 0.08 |  0.049 |
| 1038 | SPAT1336-SLIT1038-DET01 |      1335.6 |        0.966 |      3.00 |    1.536 | 0.09 |  0.049 |
