| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
| 1038 | SPAT0800-SLIT1038-DET01 |       800.2 |        0.131 |      3.00 |    1.190 | 0.08 |  0.049 |
| 1038 | SPAT0809-SLIT1038-DET01 |       808.8 |        0.145 |      3.00 |    2.394 | 0.06 |  0.049 |
| 1038 | SPAT0836-SLIT1038-DET01 |       836.4 |        0.188 |      3.00 |    0.615 | 0.02 |  0.049 |
| 1038 | SPAT0858-SLIT1038-DET01 |       858.3 |        0.224 |      3.00 |    6.994 | 0.21 |  0.049 |
| 1038 | SPAT0873-SLIT1038-DET01 |       873.4 |        0.245 |      3.00 |    0.649 | 7.37 |  0.049 |
| 1038 | SPAT0937-SLIT1038-DET01 |       937.1 |        0.345 |      3.00 |    1.095 | 0.13 |  0.049 |
| 1038 | SPAT0961-SLIT1038-DET01 |       960.6 |        0.382 |      3.00 |    1.119 | 0.02 |  0.049 |
| 1038 | SPAT0992-SLIT1038-DET01 |       991.9 |        0.430 |      3.00 |    2.032 | 0.05 |  0.049 |
| 1038 | SPAT1261-SLIT1038-DET01 |      1261.2 |        0.850 |      3.00 |    1.066 | 0.02 |  0.049 |
| 1038 | SPAT1276-SLIT1038-DET01 |      1276.4 |        0.873 |      3.00 |    1.282 | 0.02 |  0.049 |
