| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
| 1038 | SPAT0725-SLIT1038-DET01 |       725.3 |        0.016 |      3.00 |   62.100 |   9.09 |  0.049 |
| 1038 | SPAT0732-SLIT1038-DET01 |       732.4 |        0.027 |      3.00 |   45.668 |   8.07 |  0.049 |
| 1038 | SPAT0755-SLIT1038-DET01 |       754.7 |        0.061 |      3.00 |   46.156 |   8.36 |  0.049 |
| 1038 | SPAT0772-SLIT1038-DET01 |       771.8 |        0.087 |      3.00 |   40.099 | 135.32 |  0.049 |
| 1038 | SPAT0784-SLIT1038-DET01 |       784.4 |        0.108 |      3.00 |   43.568 |  49.46 |  0.049 |
| 1038 | SPAT0797-SLIT1038-DET01 |       797.4 |        0.129 |      3.00 |   42.671 |  48.01 |  0.049 |
| 1038 | SPAT0823-SLIT1038-DET01 |       823.4 |        0.168 |      3.00 |   40.376 |  22.93 |  0.049 |
| 1038 | SPAT0939-SLIT1038-DET01 |       939.1 |        0.348 |      3.00 |    0.794 |   6.31 |  0.049 |
| 1038 | SPAT1023-SLIT1038-DET01 |      1023.3 |        0.479 |      3.00 |    0.659 |  35.77 |  0.049 |
| 1038 | SPAT1186-SLIT1038-DET01 |      1185.9 |        0.732 |      3.00 |    1.853 |  35.92 |  0.049 |
