| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT0742-SLIT1038-DET01 |       741.7 |        0.040 |      3.00 |    1.784 |  2.26 |  0.049 |
| 1038 | SPAT0787-SLIT1038-DET01 |       786.8 |        0.110 |      3.00 |    0.729 | 76.24 |  0.049 |
| 1038 | SPAT0861-SLIT1038-DET01 |       861.4 |        0.226 |      3.00 |    1.523 |  0.18 |  0.049 |
| 1038 | SPAT0882-SLIT1038-DET01 |       882.1 |        0.258 |      3.00 |    1.035 |  0.28 |  0.049 |
| 1038 | SPAT0898-SLIT1038-DET01 |       897.7 |        0.283 |      3.00 |    1.107 |  0.28 |  0.049 |
| 1038 | SPAT0939-SLIT1038-DET01 |       938.6 |        0.347 |      3.00 |    0.629 |  3.85 |  0.049 |
| 1038 | SPAT1155-SLIT1038-DET01 |      1154.9 |        0.684 |      3.00 |    1.238 |  0.25 |  0.049 |
| 1038 | SPAT1199-SLIT1038-DET01 |      1198.6 |        0.753 |      3.00 |    1.729 |  0.66 |  0.049 |
| 1038 | SPAT1211-SLIT1038-DET01 |      1211.2 |        0.772 |      3.00 |    7.788 |  0.35 |  0.049 |
| 1038 | SPAT1298-SLIT1038-DET01 |      1297.8 |        0.906 |      3.00 |    1.065 |  0.48 |  0.049 |
