| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
|  445 | SPAT0185-SLIT0445-DET01 |       185.2 |        0.201 |      3.00 |    1.689 | 0.44 |
|  445 | SPAT0241-SLIT0445-DET01 |       240.6 |        0.264 |      3.00 |    0.845 | 3.83 |
|  445 | SPAT0311-SLIT0445-DET01 |       311.2 |        0.345 |      3.00 |    1.671 | 1.28 |
|  445 | SPAT0473-SLIT0445-DET01 |       472.9 |        0.532 |      3.00 |    1.220 | 0.26 |
|  445 | SPAT0549-SLIT0445-DET01 |       548.7 |        0.619 |      3.00 |   18.689 | 0.66 |
|  445 | SPAT0559-SLIT0445-DET01 |       559.1 |        0.630 |      3.00 |   18.365 | 0.72 |
|  445 | SPAT0564-SLIT0445-DET01 |       563.9 |        0.637 |      3.00 |   18.389 | 0.82 |
|  445 | SPAT0577-SLIT0445-DET01 |       576.6 |        0.651 |      3.00 |   18.445 | 0.65 |
|  445 | SPAT0603-SLIT0445-DET01 |       602.7 |        0.682 |      3.00 |    0.754 | 4.00 |
|  445 | SPAT0836-SLIT0445-DET01 |       836.0 |        0.950 |      3.00 |    1.066 | 1.16 |
