| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | manual_extract | wv_rms |
| 1038 | SPAT0725-SLIT1038-DET01 |       725.4 |        0.016 |      3.00 |   60.917 | 30.51 |          False |  0.049 |
| 1038 | SPAT0732-SLIT1038-DET01 |       732.4 |        0.027 |      3.00 |   50.952 | 30.87 |          False |  0.049 |
| 1038 | SPAT0755-SLIT1038-DET01 |       754.7 |        0.061 |      3.00 |   42.988 | 31.66 |          False |  0.049 |
| 1038 | SPAT0772-SLIT1038-DET01 |       771.8 |        0.087 |      3.00 |   35.861 | 29.34 |          False |  0.049 |
| 1038 | SPAT0784-SLIT1038-DET01 |       784.4 |        0.108 |      3.00 |   28.814 | 28.73 |          False |  0.049 |
| 1038 | SPAT0797-SLIT1038-DET01 |       797.4 |        0.129 |      3.00 |   36.072 | 28.09 |          False |  0.049 |
| 1038 | SPAT0823-SLIT1038-DET01 |       823.4 |        0.168 |      3.00 |   40.424 | 23.51 |          False |  0.049 |
| 1038 | SPAT0839-SLIT1038-DET01 |       839.0 |        0.193 |      3.00 |    2.021 | 21.02 |           True |  0.049 |
| 1038 | SPAT0939-SLIT1038-DET01 |       939.1 |        0.348 |      3.00 |    0.885 |  7.94 |          False |  0.049 |
| 1038 | SPAT1023-SLIT1038-DET01 |      1023.3 |        0.479 |      3.00 |    0.644 | 36.32 |          False |  0.049 |
| 1038 | SPAT1186-SLIT1038-DET01 |      1185.9 |        0.732 |      3.00 |    1.803 | 36.10 |          False |  0.049 |
