name,ra,dec,JAB,label,source,notes
J081040.29+235235.09,122.6678542,23.87641444,20.196773999999998,M9,RN,
J085008.46+014643.00,132.5352292,1.77861,20.949196,L2,RN,
J090138.13+290655.54,135.4088917,29.11542889,20.58587,qso,RN,z~6.1
J091140.29+002242.49,137.9178875,0.3784705556,21.290488,M9,RN,
J094755.49+011127.00,146.9812042,1.190834167,20.56739,M8,RN,
J110002.90+020300.38,165.012075,2.050105,21.519932,unknown,RN,coadd2d; low S/N but unlikely to be qso
J114356.11-024829.42,175.9837875,-2.808171389,21.759002000000002,unknown,RN,
J115321.54-223901.20,178.3397708,-22.65033361,-1.0,M9,EB,
J120003.18+011214.39,180.0132417,1.203996667,21.674621000000002,unknown,RN,coadd2d; low S/N but unlikely to be qso
J122311.39+011405.30,185.79745,1.234805833,20.821467,M8,RN,
J123351.24-280750.41,188.4634833,-28.13066972,-1.0,M9,EB,
J125028.62+034703.27,192.6192292,3.784240556,21.512926,unknown,RN,
J131927.52+010156.30,199.86465,1.032304722,21.43092,qso,RN,z~5.7
J132719.53-020714.60,201.8313583,-2.120721111,21.429432,unknown,RN,
J133504.33+010355.78,203.7680417,1.065495833,21.21678,M4.5,RN,
J135504.67-004420.54,208.7694417,-0.7390397222,21.193597999999998,unknown,RN,
J135539.63-011129.48,208.9151167,-1.191522778,21.547176999999998,unknown,RN,
J135636.65+005039.70,209.1527,0.8443605556,21.549115,unknown,RN,
J135843.80-011821.13,209.6824917,-1.305868611,20.537516,M9,RN,
J141210.97-275730.31,213.0457042,-27.95841806,-1.0,M6,EB,
J142226.65+030754.18,215.6110542,3.131717778,21.21256,M9,RN,
J142524.12+000417.41,216.3505,0.07150166667,20.977176999999998,M8,RN,
J142748.54+020227.23,216.9522583,2.040896389,21.743242000000002,unknown,RN,coadd2d; low S/N but unlikely to be qso
J144337.30+021004.02,220.9054208,2.167783333,21.413781999999998,problematic,RN,reduction fail
J145836.16+101249.65,224.6506792,10.21379167,-1.0,qso,EB,z~5.6
J151032.45-014425.77,227.6352,-1.740491111,21.657781999999997,unknown,RN,
J151418.78-012144.14,228.5782583,-1.362261389,21.550278,M9.5,RN,
J152234.29+005152.80,230.6428958,0.8646655556,21.482891,unknown,RN,
J153452.89+004645.53,233.7203625,0.7793127778,20.901667,M9,RN,
J165508.76-005121.63,253.7865042,-0.8560072222,-1.0,M4.5,EB,
J172429.93+371821.79,261.1247042,37.30605139,-1.0,qso,EB,z~5.74
