,ra,dec,PA,mag,mag_off,ra_off,dec_off,priority,flag,Night1,Night2,Notes
J0923p0402,09 23 47.117,04 02 54.580,,28,,,,1,ASPIRE,Finshed,,
J1110m1329,11 10 33.960,-13 29 45.600,,28,,,,1,ASPIRE,Observed 4 seq,Observed 2 seq,
J1048m0109,10 48 19.090,-01 09 40.210,,28,,,,1,ASPIRE,,Finished,
J1058p2930,10 58 07.720,29 30 41.700,,28,,,,1,ASPIRE,,,
FRB20210123,,,,,,,,,,,Finished 10x300s,
J0343+0809,03 43 49.864,08 09 00.111,-126.74,20.7,17.5,-33.02,-24.65,2,Banados,,,
J0510-0550,05 10 23.570,-05 50 03.657,10.7,20.7,18,4.23,22.36,2,Banados,,,
J0810+2352,08 10 40.285,23 52 35.092,-9.83,20.8,18.5,-1.98,11.4,1,Nanni,,O,Not QSO
J0822+0040,08 22 01.072,00 40 30.703,0.38,21.3,19.8,0.1,15.58,4,Nanni,,,
J0837+0354,08 37 22.260,03 54 17.533,127.42,21.1,17,24.29,-18.59,4,Nanni,,,
J0838-0145,08 38 45.651,-01 45 23.729,-164.99,22,16.2,-1.02,-3.8,4,Nanni,,,
J0842+2825,08 42 57.218,28 25 09.203,-132.37,20.5,16.9,-22.73,-20.73,2,Banados,,,
J0850+0146,08 50 08.455,01 46 42.996,-35.22,22.1,20.4,-11.24,15.92,1,Nanni,,O,Not QSO
J0855+0557,08 55 48.279,05 57 09.011,42.41,20.2,19.8,12.8,14.02,4,Nanni,,,
J0857+2626,08 57 13.907,26 26 31.728,-28.28,21.3,18.4,-10.77,20.01,2,Nanni,,,
J0858-0248,08 58 31.054,-02 48 14.464,84.16,21.1,17.4,24,2.45,4,Nanni,,,
J0901+2906,09 01 38.134,29 06 55.544,-24.37,20.9,17.6,-17.54,38.72,1,Nanni,,O,"QSO, z=6.1"
J0907-0228,09 07 06.061,-02 28 19.942,107.49,21.2,16.3,18.37,-5.79,4,Nanni,,,
J0911+0022,09 11 40.293,00 22 42.494,123.9,21.8,19.2,14.79,-9.94,1,Nanni,,O,Not QSO
J0913-0425_LAE,09 13 15.963,-04 25 20.804,140,22.7,17.5,22.32,44.47,1,Wang,,O,z=6.613
J0947+0111,09 47 55.489,01 11 27.003,-2.89,21.3,17.8,-3.28,64.87,2,Nanni,,O,Not QSO
J0949+0022,09 49 44.674,00 22 53.745,-19.53,19.4,17.6,-15.81,44.58,4,Nanni,,,
J1048+0856,10 48 20.490,08 56 42.005,-100.26,20.8,17.4,-37.83,-6.85,4,Nanni,,,
J1053+0344,10 53 33.107,03 44 41.507,41.43,22.9,18.8,37.15,42.09,3,Nanni,,,
J1057+0737,10 57 27.252,07 37 29.373,-33.37,21.2,18,-11.82,17.95,4,Nanni,,,
J1100+0203,11 00 02.898,02 03 00.378,64.06,22.9,16.8,29.65,14.43,1,Nanni,O,,Not QSO
J1114-0144,11 14 02.998,-01 44 53.085,103.73,21.6,17.4,30.75,-7.51,2,Nanni,,,
J1132+0058,11 32 06.550,00 58 55.950,119.93,22,19.3,42.93,-24.72,3,Nanni,,,
J1143-0248,11 43 56.109,-02 48 29.417,148.43,23.1,18.7,9.91,-16.12,1,Nanni,O,,"Not QSO, observed at incorrect rotator angle so offset star ont on slit"
J1146+0356,11 46 28.270,03 56 22.172,81.55,22.8,18.8,55.21,8.2,3,Nanni,,,
J1152+0754,11 52 50.741,07 54 39.905,152.57,21.3,16.5,12.95,-24.95,4,Nanni,,,
J1153-2239,11 53 21.545,-22 39 01.201,120.92,20.6,16.1,55.69,-33.35,2,Banados,,O,Not QSO
J1155+0145,11 55 29.605,01 45 36.634,119.75,21.7,20.5,22,-12.57,3,Nanni,,,
J1159+0333,11 59 42.992,03 33 05.352,-21.45,21,17,-15.07,38.35,4,Nanni,,,
J1200+0112,12 00 03.178,01 12 14.388,-132.99,23.2,19.3,-23.79,-22.18,2,Nanni,O,,Not QSO
J1207+0110,12 07 39.052,01 10 34.087,16.58,22.2,15.9,1.39,4.67,4,Nanni,,,
J1220+0223,12 20 10.640,02 23 22.616,-136.65,21.6,16.7,-23.29,-24.67,2,Nanni,,,
J1223+0114,12 23 11.388,01 14 05.301,-149.57,21.5,19.6,-14.09,-23.98,1,Nanni,O,,Not QSO
J1233-2807,12 33 51.236,-28 07 50.411,-48.45,21,17.9,-15.4,13.65,2,Banados,,O,Not QSO
J1240-0013,12 40 39.773,-00 13 54.542,48.3,22.8,18.9,9.69,8.63,3,Nanni,,,
J1250+0347,12 50 28.615,03 47 03.266,7.6,21.8,20.4,7.11,53.26,1,Nanni,O,,Not QSO
J1253-0200,12 53 12.363,-02 00 41.159,54.34,22.3,15.1,4.1,2.94,2,Nanni,,,
J1254-0134,12 54 22.233,-01 34 03.019,-49.63,23,18.6,-61.4,52.2,2,Nanni,,,
J1306-0248,13 06 12.134,-02 48 10.377,-168.52,22.3,17.6,-3.61,-17.78,2,Nanni,,,
J1307+0202,13 07 06.689,02 02 51.696,102.93,23.2,17.8,42.53,-9.76,2,Nanni,,,
J1319+0101,13 19 27.516,01 01 56.297,-172.64,21.2,16.6,-5.19,-40.15,1,Nanni,O,,"QSO, z=5.7"
J1320-0241,13 20 56.993,-02 41 18.935,160.17,22,19.6,12.51,-34.7,4,Nanni,,,
J1322+3006,13 22 35.639,30 06 53.809,66.17,20.9,17.9,11.19,4.94,2,Nanni,,,
J1322-0010,13 22 53.419,-00 10 01.563,140.18,23.1,20,15.37,-18.43,3,Nanni,,,
J1327-0207,13 27 19.526,-02 07 14.596,-56.09,22.9,20.1,-52.44,35.26,1,Nanni,O,,Not QSO
J1332+0812,13 32 26.476,08 12 05.869,156.86,21.3,20.1,6.58,-15.4,4,Nanni,,,
J1332-0131,13 32 36.219,-01 31 37.306,139.69,21.2,18.9,11.96,-14.09,4,Nanni,,,
J1335+0103,13 35 04.330,01 03 55.785,106.76,21.8,17.7,64.57,-19.44,1,Nanni,O,,Not QSO
J1335-0220,13 35 23.095,-02 20 41.026,13.21,22,19,6.56,27.95,2,Nanni,,,
J1341+0213,13 41 27.520,02 13 12.738,-3.95,22,16.1,-2.7,39.1,2,Nanni,,,
J1342+1506,13 42 23.829,15 06 24.898,-17.95,21.1,19.6,-12.21,37.68,4,Nanni,,,
J1351+0128,13 51 32.340,01 28 09.564,-128.71,21.7,19.9,-30.42,-24.38,2,Nanni,,,
