| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1037 | SPAT0750-SLIT1037-DET01 |       750.0 |        0.070 |      3.00 |    1.045 |  0.34 |  0.055 |
| 1037 | SPAT0781-SLIT1037-DET01 |       781.5 |        0.118 |      3.00 |    6.258 |  0.55 |  0.055 |
| 1037 | SPAT0791-SLIT1037-DET01 |       791.4 |        0.134 |      3.00 |    1.393 |  0.94 |  0.055 |
| 1037 | SPAT0843-SLIT1037-DET01 |       843.4 |        0.215 |      3.00 |    0.845 |  0.12 |  0.055 |
| 1037 | SPAT0872-SLIT1037-DET01 |       871.8 |        0.260 |      3.00 |    1.403 |  0.07 |  0.055 |
| 1037 | SPAT0937-SLIT1037-DET01 |       937.3 |        0.361 |      3.00 |    1.204 |  1.05 |  0.055 |
| 1037 | SPAT1136-SLIT1037-DET01 |      1136.2 |        0.671 |      3.00 |    0.689 | 13.65 |  0.055 |
| 1037 | SPAT1159-SLIT1037-DET01 |      1159.2 |        0.705 |      3.00 |    0.981 |  0.03 |  0.055 |
| 1037 | SPAT1255-SLIT1037-DET01 |      1255.3 |        0.857 |      3.00 |    2.461 |  0.16 |  0.055 |
| 1037 | SPAT1282-SLIT1037-DET01 |      1281.8 |        0.898 |      3.00 |    0.744 |  0.16 |  0.055 |
