| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
| 1038 | SPAT0863-SLIT1038-DET01 |       862.5 |        0.244 |      3.00 |   20.782 |   2.20 |  0.049 |
| 1038 | SPAT0871-SLIT1038-DET01 |       871.4 |        0.258 |      3.00 |   18.161 |   2.46 |  0.049 |
| 1038 | SPAT0885-SLIT1038-DET01 |       884.6 |        0.278 |      3.00 |    6.989 |   1.73 |  0.049 |
| 1038 | SPAT0933-SLIT1038-DET01 |       933.0 |        0.354 |      3.00 |    0.746 | 103.78 |  0.049 |
| 1038 | SPAT0987-SLIT1038-DET01 |       987.0 |        0.439 |      3.00 |   22.808 |   2.05 |  0.049 |
| 1038 | SPAT0996-SLIT1038-DET01 |       996.1 |        0.452 |      3.00 |   20.093 |   0.81 |  0.049 |
| 1038 | SPAT1006-SLIT1038-DET01 |      1006.3 |        0.468 |      3.00 |   23.307 |   0.70 |  0.049 |
| 1038 | SPAT1022-SLIT1038-DET01 |      1022.0 |        0.493 |      3.00 |   26.258 |   1.45 |  0.049 |
| 1038 | SPAT1032-SLIT1038-DET01 |      1031.8 |        0.509 |      3.00 |   22.751 |   0.33 |  0.049 |
| 1038 | SPAT1263-SLIT1038-DET01 |      1262.7 |        0.867 |      3.00 |    4.056 |   0.22 |  0.049 |
