| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
| 1038 | SPAT0870-SLIT1038-DET01 |       870.5 |        0.241 |      3.00 |    0.861 | 7.78 |  0.049 |
| 1038 | SPAT0897-SLIT1038-DET01 |       897.4 |        0.283 |      3.00 |   12.373 | 0.54 |  0.049 |
| 1038 | SPAT0905-SLIT1038-DET01 |       905.3 |        0.295 |      3.00 |    1.830 | 0.47 |  0.049 |
| 1038 | SPAT0943-SLIT1038-DET01 |       942.7 |        0.354 |      3.00 |    0.863 | 0.78 |  0.049 |
| 1038 | SPAT1042-SLIT1038-DET01 |      1042.5 |        0.508 |      3.00 |    0.615 | 0.09 |  0.049 |
| 1038 | SPAT1212-SLIT1038-DET01 |      1212.0 |        0.773 |      3.00 |    4.611 | 0.36 |  0.049 |
| 1038 | SPAT1223-SLIT1038-DET01 |      1222.5 |        0.790 |      3.00 |   12.672 | 0.45 |  0.049 |
| 1038 | SPAT1252-SLIT1038-DET01 |      1251.6 |        0.833 |      3.00 |   13.947 | 0.64 |  0.049 |
| 1038 | SPAT1269-SLIT1038-DET01 |      1269.3 |        0.862 |      3.00 |    8.693 | 0.61 |  0.049 |
| 1038 | SPAT1286-SLIT1038-DET01 |      1285.8 |        0.888 |      3.00 |   14.730 | 0.62 |  0.049 |
