| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT0759-SLIT1038-DET01 |       758.6 |        0.085 |      3.00 |    0.615 |  0.20 |  0.049 |
| 1038 | SPAT0869-SLIT1038-DET01 |       868.8 |        0.255 |      3.00 |    4.096 |  0.16 |  0.049 |
| 1038 | SPAT0870-SLIT1038-DET01 |       870.5 |        0.257 |      3.00 |    3.392 |  0.16 |  0.049 |
| 1038 | SPAT0939-SLIT1038-DET01 |       939.0 |        0.364 |      3.00 |    0.730 |  0.84 |  0.049 |
| 1038 | SPAT1013-SLIT1038-DET01 |      1013.0 |        0.479 |      3.00 |    3.767 |  0.53 |  0.049 |
| 1038 | SPAT1034-SLIT1038-DET01 |      1034.4 |        0.513 |      3.00 |    8.546 |  0.29 |  0.049 |
| 1038 | SPAT1052-SLIT1038-DET01 |      1052.3 |        0.540 |      3.00 |    0.685 | 22.24 |  0.049 |
| 1038 | SPAT1148-SLIT1038-DET01 |      1148.3 |        0.690 |      3.00 |    0.615 |  0.13 |  0.049 |
| 1038 | SPAT1295-SLIT1038-DET01 |      1294.9 |        0.919 |      3.00 |    2.968 |  0.16 |  0.049 |
| 1038 | SPAT1325-SLIT1038-DET01 |      1325.0 |        0.965 |      3.00 |    0.615 |  0.19 |  0.049 |
