| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
| 1038 | SPAT0760-SLIT1038-DET01 |       759.7 |        0.089 |      3.00 |    0.615 | 0.09 |  0.049 |
| 1038 | SPAT0939-SLIT1038-DET01 |       939.3 |        0.367 |      3.00 |    1.210 | 0.28 |  0.049 |
| 1038 | SPAT0963-SLIT1038-DET01 |       962.9 |        0.405 |      3.00 |    2.857 | 0.03 |  0.049 |
| 1038 | SPAT0970-SLIT1038-DET01 |       969.6 |        0.414 |      3.00 |    3.205 | 0.02 |  0.049 |
| 1038 | SPAT0996-SLIT1038-DET01 |       995.6 |        0.456 |      3.00 |   11.954 | 0.08 |  0.049 |
| 1038 | SPAT1003-SLIT1038-DET01 |      1002.8 |        0.466 |      3.00 |   11.325 | 0.15 |  0.049 |
| 1038 | SPAT1014-SLIT1038-DET01 |      1014.1 |        0.484 |      3.00 |   10.435 | 0.22 |  0.049 |
| 1038 | SPAT1019-SLIT1038-DET01 |      1019.4 |        0.494 |      3.00 |    6.808 | 0.26 |  0.049 |
| 1038 | SPAT1028-SLIT1038-DET01 |      1028.3 |        0.508 |      3.00 |   10.938 | 0.25 |  0.049 |
| 1038 | SPAT1052-SLIT1038-DET01 |      1052.2 |        0.543 |      3.00 |    0.730 | 9.14 |  0.049 |
