| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT1071-SLIT1038-DET01 |      1070.9 |        0.527 |      3.00 |    0.850 | 30.13 |  1.254 |
| 1038 | SPAT1167-SLIT1038-DET01 |      1166.6 |        0.675 |      3.00 |   96.524 | 43.47 |  1.254 |
| 1038 | SPAT1171-SLIT1038-DET01 |      1171.4 |        0.683 |      3.00 |   26.245 | 46.52 |  1.254 |
| 1038 | SPAT1179-SLIT1038-DET01 |      1179.3 |        0.696 |      3.00 |   87.813 | 45.67 |  1.254 |
| 1038 | SPAT1263-SLIT1038-DET01 |      1262.7 |        0.824 |      3.00 |   51.018 | 62.09 |  1.254 |
| 1038 | SPAT1281-SLIT1038-DET01 |      1281.0 |        0.853 |      3.00 |   46.225 | 62.16 |  1.254 |
| 1038 | SPAT1309-SLIT1038-DET01 |      1309.0 |        0.898 |      3.00 |   45.660 | 60.30 |  1.254 |
| 1038 | SPAT1317-SLIT1038-DET01 |      1317.4 |        0.912 |      3.00 |   41.885 | 58.23 |  1.254 |
| 1038 | SPAT1339-SLIT1038-DET01 |      1339.4 |        0.946 |      3.00 |    6.953 | 45.70 |  1.254 |
| 1038 | SPAT1350-SLIT1038-DET01 |      1350.0 |        0.961 |      3.00 |    4.641 | 44.79 |  1.254 |
