| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | manual_extract | wv_rms |
| 1038 | SPAT0794-SLIT1038-DET01 |       794.2 |        0.112 |      3.00 |    1.067 | 44.89 |          False |  0.061 |
| 1038 | SPAT0939-SLIT1038-DET01 |       939.0 |        0.338 |      3.00 |    0.738 |  1.37 |           True |  0.061 |
| 1038 | SPAT1115-SLIT1038-DET01 |      1114.5 |        0.611 |      3.00 |    3.206 | 15.58 |          False |  0.061 |
| 1038 | SPAT1245-SLIT1038-DET01 |      1245.0 |        0.814 |      3.00 |   55.308 | 57.74 |          False |  0.061 |
| 1038 | SPAT1265-SLIT1038-DET01 |      1264.5 |        0.844 |      3.00 |   43.007 | 57.06 |          False |  0.061 |
| 1038 | SPAT1272-SLIT1038-DET01 |      1272.4 |        0.856 |      3.00 |   44.961 | 56.75 |          False |  0.061 |
| 1038 | SPAT1282-SLIT1038-DET01 |      1281.5 |        0.870 |      3.00 |   44.250 | 58.48 |          False |  0.061 |
| 1038 | SPAT1294-SLIT1038-DET01 |      1294.4 |        0.890 |      3.00 |   43.759 | 58.81 |          False |  0.061 |
| 1038 | SPAT1308-SLIT1038-DET01 |      1308.4 |        0.912 |      3.00 |   47.274 | 66.30 |          False |  0.061 |
| 1038 | SPAT1331-SLIT1038-DET01 |      1331.4 |        0.947 |      3.00 |   45.931 | 61.76 |          False |  0.061 |
| 1038 | SPAT1342-SLIT1038-DET01 |      1341.7 |        0.964 |      3.00 |   46.546 | 66.81 |          False |  0.061 |
