| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT0893-SLIT1038-DET01 |       892.9 |        0.291 |      3.00 |   13.311 |  0.15 |  0.061 |
| 1038 | SPAT0938-SLIT1038-DET01 |       938.0 |        0.361 |      3.00 |    1.206 | 89.21 |  0.061 |
| 1038 | SPAT1240-SLIT1038-DET01 |      1239.6 |        0.832 |      3.00 |    6.568 |  2.63 |  0.061 |
| 1038 | SPAT1249-SLIT1038-DET01 |      1248.6 |        0.845 |      3.00 |   25.696 |  2.70 |  0.061 |
| 1038 | SPAT1265-SLIT1038-DET01 |      1265.3 |        0.871 |      3.00 |   33.973 |  1.01 |  0.061 |
| 1038 | SPAT1281-SLIT1038-DET01 |      1280.8 |        0.895 |      3.00 |   31.496 |  1.36 |  0.061 |
| 1038 | SPAT1288-SLIT1038-DET01 |      1288.3 |        0.908 |      3.00 |   48.885 |  2.52 |  0.061 |
| 1038 | SPAT1313-SLIT1038-DET01 |      1312.9 |        0.945 |      3.00 |   55.655 |  7.68 |  0.061 |
| 1038 | SPAT1324-SLIT1038-DET01 |      1323.9 |        0.963 |      3.00 |   25.264 |  3.77 |  0.061 |
| 1038 | SPAT1334-SLIT1038-DET01 |      1333.9 |        0.978 |      3.00 |   20.155 |  8.54 |  0.061 |
