| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
| 1038 | SPAT0804-SLIT1038-DET01 |       803.9 |        0.115 |      3.00 |    1.261 | 5.74 |  0.061 |
| 1038 | SPAT1149-SLIT1038-DET01 |      1149.3 |        0.652 |      3.00 |   35.655 | 2.49 |  0.061 |
| 1038 | SPAT1154-SLIT1038-DET01 |      1153.6 |        0.659 |      3.00 |   33.734 | 2.14 |  0.061 |
| 1038 | SPAT1240-SLIT1038-DET01 |      1240.2 |        0.795 |      3.00 |   51.886 | 6.53 |  0.061 |
| 1038 | SPAT1250-SLIT1038-DET01 |      1249.9 |        0.812 |      3.00 |   39.090 | 4.86 |  0.061 |
| 1038 | SPAT1264-SLIT1038-DET01 |      1263.7 |        0.832 |      3.00 |   47.692 | 3.05 |  0.061 |
| 1038 | SPAT1279-SLIT1038-DET01 |      1278.9 |        0.856 |      3.00 |   42.644 | 2.39 |  0.061 |
| 1038 | SPAT1290-SLIT1038-DET01 |      1289.9 |        0.872 |      3.00 |   44.675 | 3.20 |  0.061 |
| 1038 | SPAT1302-SLIT1038-DET01 |      1302.4 |        0.892 |      3.00 |   43.994 | 3.63 |  0.061 |
| 1038 | SPAT1314-SLIT1038-DET01 |      1313.6 |        0.909 |      3.00 |   31.734 | 1.98 |  0.061 |
