| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
| 1038 | SPAT0873-SLIT1038-DET01 |       872.6 |        0.260 |      3.00 |    1.730 | 0.14 |  0.061 |
| 1038 | SPAT0889-SLIT1038-DET01 |       889.3 |        0.284 |      3.00 |    2.275 | 0.04 |  0.061 |
| 1038 | SPAT0936-SLIT1038-DET01 |       936.4 |        0.358 |      3.00 |    1.268 | 0.74 |  0.061 |
| 1038 | SPAT0956-SLIT1038-DET01 |       956.5 |        0.390 |      3.00 |    1.415 | 0.15 |  0.061 |
| 1038 | SPAT0968-SLIT1038-DET01 |       967.8 |        0.408 |      3.00 |    4.619 | 0.01 |  0.061 |
| 1038 | SPAT1016-SLIT1038-DET01 |      1015.9 |        0.483 |      3.00 |    2.007 | 0.24 |  0.061 |
| 1038 | SPAT1035-SLIT1038-DET01 |      1034.8 |        0.512 |      3.00 |    0.615 | 0.16 |  0.061 |
| 1038 | SPAT1165-SLIT1038-DET01 |      1164.6 |        0.713 |      3.00 |    0.960 | 5.71 |  0.061 |
| 1038 | SPAT1206-SLIT1038-DET01 |      1206.3 |        0.779 |      3.00 |    1.645 | 0.15 |  0.061 |
| 1038 | SPAT1254-SLIT1038-DET01 |      1253.8 |        0.853 |      3.00 |    4.029 | 0.11 |  0.061 |
