| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
| 1038 | SPAT0733-SLIT1038-DET01 |       733.0 |        0.026 |      3.00 |    0.804 |   2.07 |  0.061 |
| 1038 | SPAT0792-SLIT1038-DET01 |       792.2 |        0.117 |      3.00 |   20.810 |   0.74 |  0.061 |
| 1038 | SPAT0808-SLIT1038-DET01 |       808.0 |        0.143 |      3.00 |   13.309 |   0.95 |  0.061 |
| 1038 | SPAT0817-SLIT1038-DET01 |       817.3 |        0.158 |      3.00 |    4.519 |   0.68 |  0.061 |
| 1038 | SPAT0828-SLIT1038-DET01 |       827.9 |        0.174 |      3.00 |    8.072 |   0.80 |  0.061 |
| 1038 | SPAT0896-SLIT1038-DET01 |       896.2 |        0.281 |      3.00 |   13.257 |   0.59 |  0.061 |
| 1038 | SPAT0939-SLIT1038-DET01 |       938.5 |        0.346 |      3.00 |    1.882 |   0.43 |  0.061 |
| 1038 | SPAT1042-SLIT1038-DET01 |      1042.2 |        0.507 |      3.00 |    0.615 |   0.48 |  0.061 |
| 1038 | SPAT1260-SLIT1038-DET01 |      1260.2 |        0.847 |      3.00 |    0.672 | 148.82 |  0.061 |
| 1038 | SPAT1307-SLIT1038-DET01 |      1307.3 |        0.919 |      3.00 |    1.053 |  -0.10 |  0.061 |
