| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT0810-SLIT1038-DET01 |       810.5 |        0.163 |      3.00 |    0.967 | 59.05 |  0.061 |
| 1038 | SPAT0937-SLIT1038-DET01 |       937.0 |        0.360 |      3.00 |    0.888 |  0.94 |  0.061 |
| 1038 | SPAT1035-SLIT1038-DET01 |      1034.9 |        0.513 |      3.00 |    0.615 |  0.11 |  0.061 |
| 1038 | SPAT1112-SLIT1038-DET01 |      1112.0 |        0.633 |      3.00 |    3.015 |  0.23 |  0.061 |
| 1038 | SPAT1207-SLIT1038-DET01 |      1207.3 |        0.782 |      3.00 |   22.137 |  0.67 |  0.061 |
| 1038 | SPAT1220-SLIT1038-DET01 |      1220.2 |        0.802 |      3.00 |   21.867 |  0.66 |  0.061 |
| 1038 | SPAT1231-SLIT1038-DET01 |      1231.3 |        0.818 |      3.00 |   22.118 |  0.77 |  0.061 |
| 1038 | SPAT1253-SLIT1038-DET01 |      1252.5 |        0.851 |      3.00 |    7.702 |  1.09 |  0.061 |
| 1038 | SPAT1265-SLIT1038-DET01 |      1265.1 |        0.870 |      3.00 |    2.502 |  1.13 |  0.061 |
| 1038 | SPAT1310-SLIT1038-DET01 |      1310.4 |        0.942 |      3.00 |    1.636 |  0.31 |  0.061 |
