| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT0781-SLIT1038-DET01 |       780.6 |        0.106 |      3.00 |    1.489 | 71.84 |  0.061 |
| 1038 | SPAT0871-SLIT1038-DET01 |       870.9 |        0.247 |      3.00 |    0.750 |  0.39 |  0.061 |
| 1038 | SPAT0937-SLIT1038-DET01 |       936.6 |        0.349 |      3.00 |    1.089 |  0.71 |  0.061 |
| 1038 | SPAT1117-SLIT1038-DET01 |      1116.9 |        0.631 |      3.00 |    2.625 |  0.22 |  0.061 |
| 1038 | SPAT1143-SLIT1038-DET01 |      1142.5 |        0.670 |      3.00 |    5.343 |  0.46 |  0.061 |
| 1038 | SPAT1167-SLIT1038-DET01 |      1167.1 |        0.709 |      3.00 |   20.662 |  0.66 |  0.061 |
| 1038 | SPAT1183-SLIT1038-DET01 |      1183.4 |        0.733 |      3.00 |    6.318 |  0.55 |  0.061 |
| 1038 | SPAT1199-SLIT1038-DET01 |      1198.5 |        0.757 |      3.00 |   25.133 |  0.67 |  0.061 |
| 1038 | SPAT1240-SLIT1038-DET01 |      1240.0 |        0.821 |      3.00 |    8.730 |  0.47 |  0.061 |
| 1038 | SPAT1249-SLIT1038-DET01 |      1249.0 |        0.836 |      3.00 |    8.588 |  0.53 |  0.061 |
