| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT0893-SLIT1038-DET01 |       892.9 |        0.291 |      3.00 |    9.926 |  0.64 |  0.061 |
| 1038 | SPAT0938-SLIT1038-DET01 |       938.0 |        0.361 |      3.00 |    1.280 | 90.02 |  0.061 |
| 1038 | SPAT1240-SLIT1038-DET01 |      1239.6 |        0.831 |      3.00 |   17.325 | -0.60 |  0.061 |
| 1038 | SPAT1249-SLIT1038-DET01 |      1248.7 |        0.845 |      3.00 |    4.254 | -0.01 |  0.061 |
| 1038 | SPAT1265-SLIT1038-DET01 |      1265.0 |        0.870 |      3.00 |   18.885 | -0.31 |  0.061 |
| 1038 | SPAT1282-SLIT1038-DET01 |      1281.6 |        0.896 |      3.00 |   23.799 | -0.56 |  0.061 |
| 1038 | SPAT1289-SLIT1038-DET01 |      1288.8 |        0.909 |      3.00 |   24.880 | -0.65 |  0.061 |
| 1038 | SPAT1311-SLIT1038-DET01 |      1311.3 |        0.944 |      3.00 |   24.275 |  0.00 |  0.061 |
| 1038 | SPAT1324-SLIT1038-DET01 |      1323.8 |        0.963 |      3.00 |   27.182 |  0.00 |  0.061 |
| 1038 | SPAT1332-SLIT1038-DET01 |      1332.4 |        0.976 |      3.00 |   30.934 |  0.00 |  0.061 |
