| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
|  334 | SPAT0023-SLIT0334-DET01 |        23.1 |        0.020 |      3.00 |    2.370 |  1.08 |
|  334 | SPAT0084-SLIT0334-DET01 |        84.2 |        0.113 |      3.00 |    0.811 | 14.19 |
|  334 | SPAT0426-SLIT0334-DET01 |       426.3 |        0.639 |      3.00 |   32.276 | 12.93 |
|  334 | SPAT0459-SLIT0334-DET01 |       458.8 |        0.688 |      3.00 |   31.380 | 14.35 |
|  334 | SPAT0471-SLIT0334-DET01 |       471.0 |        0.708 |      3.00 |   47.353 | 25.32 |
|  334 | SPAT0526-SLIT0334-DET01 |       526.4 |        0.795 |      3.00 |   46.660 | 17.50 |
|  334 | SPAT0540-SLIT0334-DET01 |       540.3 |        0.817 |      3.00 |   91.055 | 25.50 |
|  334 | SPAT0572-SLIT0334-DET01 |       572.2 |        0.865 |      3.00 |   63.834 | 34.91 |
|  334 | SPAT0603-SLIT0334-DET01 |       603.0 |        0.913 |      3.00 |   50.943 | 27.03 |
|  334 | SPAT0627-SLIT0334-DET01 |       627.3 |        0.954 |      3.00 |   83.868 |  0.00 |
