| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
| 1040 | SPAT0742-SLIT1040-DET01 |       742.0 |        0.060 |      3.00 |    0.722 |  10.82 |  0.073 |
| 1040 | SPAT0871-SLIT1040-DET01 |       870.6 |        0.258 |      3.00 |   14.672 |   1.39 |  0.073 |
| 1040 | SPAT0895-SLIT1040-DET01 |       894.5 |        0.295 |      3.00 |   12.965 |   1.83 |  0.073 |
| 1040 | SPAT0910-SLIT1040-DET01 |       909.7 |        0.318 |      3.00 |    6.479 |   1.98 |  0.073 |
| 1040 | SPAT0936-SLIT1040-DET01 |       936.5 |        0.360 |      3.00 |    0.738 | 123.83 |  0.073 |
| 1040 | SPAT0957-SLIT1040-DET01 |       957.3 |        0.391 |      3.00 |    7.071 |  15.74 |  0.073 |
| 1040 | SPAT0972-SLIT1040-DET01 |       972.3 |        0.415 |      3.00 |    8.937 |   1.99 |  0.073 |
| 1040 | SPAT1003-SLIT1040-DET01 |      1003.3 |        0.463 |      3.00 |   17.225 |   0.58 |  0.073 |
| 1040 | SPAT1108-SLIT1040-DET01 |      1107.7 |        0.624 |      3.00 |    0.759 |  12.35 |  0.073 |
| 1040 | SPAT1284-SLIT1040-DET01 |      1284.0 |        0.896 |      3.00 |    2.586 |  25.15 |  0.073 |
