| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
| 1021 | SPAT0050-SLIT1021-DET01 |        50.5 |        0.020 |      3.00 |    4.295 | 1.63 |  0.139 |
| 1021 | SPAT0695-SLIT1021-DET01 |       695.3 |        0.339 |      3.00 |    4.005 | 1.15 |  0.139 |
| 1021 | SPAT1363-SLIT1021-DET01 |      1362.5 |        0.668 |      3.00 |    1.487 | 0.80 |  0.139 |
| 1021 | SPAT1407-SLIT1021-DET01 |      1407.0 |        0.691 |      3.00 |   26.279 | 3.19 |  0.139 |
| 1021 | SPAT1419-SLIT1021-DET01 |      1419.2 |        0.697 |      3.00 |   16.762 | 3.70 |  0.139 |
| 1021 | SPAT1441-SLIT1021-DET01 |      1441.4 |        0.708 |      3.00 |   15.166 | 5.58 |  0.139 |
| 1021 | SPAT1600-SLIT1021-DET01 |      1599.7 |        0.787 |      3.00 |    4.279 | 1.78 |  0.139 |
| 1021 | SPAT1646-SLIT1021-DET01 |      1645.8 |        0.809 |      3.00 |    6.500 | 1.79 |  0.139 |
| 1021 | SPAT1687-SLIT1021-DET01 |      1686.8 |        0.829 |      3.00 |    6.322 | 1.81 |  0.139 |
| 1021 | SPAT1730-SLIT1021-DET01 |      1730.0 |        0.851 |      3.00 |    6.515 | 2.06 |  0.139 |
