| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1020 | SPAT0030-SLIT1020-DET01 |        30.5 |        0.010 |      3.00 |    3.457 | -0.79 |  0.086 |
| 1020 | SPAT0640-SLIT1020-DET01 |       640.0 |        0.312 |      3.00 |   29.635 | 19.88 |  0.086 |
| 1020 | SPAT0651-SLIT1020-DET01 |       650.7 |        0.317 |      3.00 |   38.092 | 25.27 |  0.086 |
| 1020 | SPAT0686-SLIT1020-DET01 |       685.7 |        0.335 |      3.00 |    7.124 |  8.08 |  0.086 |
| 1020 | SPAT0697-SLIT1020-DET01 |       696.9 |        0.339 |      3.00 |   29.307 | 29.38 |  0.086 |
| 1020 | SPAT1406-SLIT1020-DET01 |      1406.2 |        0.691 |      3.00 |    0.970 |  2.64 |  0.086 |
| 1020 | SPAT1418-SLIT1020-DET01 |      1418.2 |        0.697 |      3.00 |   10.552 |  7.22 |  0.086 |
| 1020 | SPAT1435-SLIT1020-DET01 |      1434.5 |        0.705 |      3.00 |   10.105 |  8.89 |  0.086 |
| 1020 | SPAT1596-SLIT1020-DET01 |      1596.4 |        0.786 |      3.00 |    2.913 |  3.51 |  0.086 |
| 1020 | SPAT1640-SLIT1020-DET01 |      1640.3 |        0.807 |      3.00 |    5.283 |  1.84 |  0.086 |
