| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1060 | SPAT0033-SLIT1060-DET01 |        32.6 |        0.010 |      3.00 |   15.380 | 2.12 |
| 1060 | SPAT0052-SLIT1060-DET01 |        52.4 |        0.020 |      3.00 |    4.724 | 1.57 |
| 1060 | SPAT0251-SLIT1060-DET01 |       251.2 |        0.115 |      3.00 |    1.680 | 0.58 |
| 1060 | SPAT0517-SLIT1060-DET01 |       517.1 |        0.242 |      3.00 |    1.537 | 0.51 |
| 1060 | SPAT0961-SLIT1060-DET01 |       960.7 |        0.453 |      3.00 |    2.417 | 0.77 |
| 1060 | SPAT1075-SLIT1060-DET01 |      1075.4 |        0.507 |      3.00 |    0.690 | 5.27 |
| 1060 | SPAT1202-SLIT1060-DET01 |      1202.0 |        0.567 |      3.00 |   10.412 | 0.88 |
| 1060 | SPAT1226-SLIT1060-DET01 |      1225.8 |        0.579 |      3.00 |    2.615 | 0.84 |
| 1060 | SPAT2050-SLIT1060-DET01 |      2050.0 |        0.971 |      3.00 |    5.796 | 1.10 |
| 1060 | SPAT2064-SLIT1060-DET01 |      2063.9 |        0.978 |      3.00 |    5.923 | 0.72 |
