| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1021 | SPAT0884-SLIT1021-DET01 |       884.5 |        0.433 |      3.00 |   56.495 | 17.58 |  0.139 |
| 1021 | SPAT0926-SLIT1021-DET01 |       926.3 |        0.453 |      3.00 |   49.821 | 14.90 |  0.139 |
| 1021 | SPAT0971-SLIT1021-DET01 |       971.4 |        0.476 |      3.00 |    8.163 | 11.37 |  0.139 |
| 1021 | SPAT0983-SLIT1021-DET01 |       982.9 |        0.481 |      3.00 |   14.030 | 16.70 |  0.139 |
| 1021 | SPAT1010-SLIT1021-DET01 |      1010.3 |        0.495 |      3.00 |   52.257 | 18.83 |  0.139 |
| 1021 | SPAT1059-SLIT1021-DET01 |      1059.2 |        0.519 |      3.00 |    1.089 |  4.19 |  0.139 |
| 1021 | SPAT1148-SLIT1021-DET01 |      1148.1 |        0.563 |      3.00 |   10.129 | 10.60 |  0.139 |
| 1021 | SPAT1945-SLIT1021-DET01 |      1944.7 |        0.957 |      3.00 |    1.906 |  1.87 |  0.139 |
| 1021 | SPAT1972-SLIT1021-DET01 |      1972.0 |        0.970 |      3.00 |    5.194 |  4.50 |  0.139 |
| 1021 | SPAT1988-SLIT1021-DET01 |      1988.4 |        0.978 |      3.00 |    4.706 |  3.68 |  0.139 |
