| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1020 | SPAT0889-SLIT1020-DET01 |       889.0 |        0.435 |      3.00 |   12.218 | 11.75 |  0.086 |
| 1020 | SPAT0970-SLIT1020-DET01 |       969.7 |        0.476 |      3.00 |    7.531 | 22.12 |  0.086 |
| 1020 | SPAT1013-SLIT1020-DET01 |      1013.1 |        0.497 |      3.00 |   53.063 | 18.64 |  0.086 |
| 1020 | SPAT1058-SLIT1020-DET01 |      1057.8 |        0.519 |      3.00 |    1.009 |  4.72 |  0.086 |
| 1020 | SPAT1102-SLIT1020-DET01 |      1102.2 |        0.541 |      3.00 |   52.969 | 17.93 |  0.086 |
| 1020 | SPAT1146-SLIT1020-DET01 |      1146.0 |        0.565 |      3.00 |   56.457 | 20.64 |  0.086 |
| 1020 | SPAT1146-SLIT1020-DET01 |      1146.2 |        0.563 |      3.00 |   56.072 | 19.22 |  0.086 |
| 1020 | SPAT1943-SLIT1020-DET01 |      1943.2 |        0.956 |      3.00 |    1.364 |  4.20 |  0.086 |
| 1020 | SPAT1971-SLIT1020-DET01 |      1971.0 |        0.970 |      3.00 |    8.420 | 10.32 |  0.086 |
| 1020 | SPAT1983-SLIT1020-DET01 |      1982.9 |        0.977 |      3.00 |   10.501 |  9.94 |  0.086 |
