| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1021 | SPAT0177-SLIT1021-DET01 |       176.8 |        0.082 |      3.00 |   20.476 |  2.59 |  0.077 |
| 1021 | SPAT0195-SLIT1021-DET01 |       195.0 |        0.091 |      3.00 |   18.357 |  3.03 |  0.077 |
| 1021 | SPAT0214-SLIT1021-DET01 |       214.4 |        0.101 |      3.00 |   14.792 |  3.13 |  0.077 |
| 1021 | SPAT0229-SLIT1021-DET01 |       229.5 |        0.108 |      3.00 |   16.398 |  3.20 |  0.077 |
| 1021 | SPAT0235-SLIT1021-DET01 |       234.8 |        0.111 |      3.00 |   18.123 |  3.19 |  0.077 |
| 1021 | SPAT0246-SLIT1021-DET01 |       246.0 |        0.116 |      3.00 |   15.913 |  2.79 |  0.077 |
| 1021 | SPAT0542-SLIT1021-DET01 |       541.7 |        0.263 |      3.00 |    0.597 |  1.62 |  0.077 |
| 1021 | SPAT0742-SLIT1021-DET01 |       742.3 |        0.362 |      3.00 |    1.557 |  2.40 |  0.077 |
| 1021 | SPAT1324-SLIT1021-DET01 |      1323.6 |        0.649 |      3.00 |    0.606 | 69.17 |  0.077 |
| 1021 | SPAT1894-SLIT1021-DET01 |      1894.4 |        0.932 |      3.00 |   26.605 |  5.32 |  0.077 |
