| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1021 | SPAT0035-SLIT1021-DET01 |        34.7 |        0.012 |      3.00 |   14.305 |  4.49 |  0.094 |
| 1021 | SPAT0050-SLIT1021-DET01 |        49.8 |        0.020 |      3.00 |    9.938 |  4.31 |  0.094 |
| 1021 | SPAT0318-SLIT1021-DET01 |       317.8 |        0.152 |      3.00 |    2.433 |  3.91 |  0.094 |
| 1021 | SPAT0609-SLIT1021-DET01 |       608.6 |        0.296 |      3.00 |    1.116 |  2.69 |  0.094 |
| 1021 | SPAT0697-SLIT1021-DET01 |       696.6 |        0.339 |      3.00 |    3.465 |  2.12 |  0.094 |
| 1021 | SPAT0733-SLIT1021-DET01 |       732.6 |        0.357 |      3.00 |    0.741 | 44.74 |  0.094 |
| 1021 | SPAT0772-SLIT1021-DET01 |       771.9 |        0.376 |      3.00 |    4.440 |  2.55 |  0.094 |
| 1021 | SPAT0800-SLIT1021-DET01 |       799.6 |        0.390 |      3.00 |    1.254 |  1.56 |  0.094 |
| 1021 | SPAT0965-SLIT1021-DET01 |       965.3 |        0.472 |      3.00 |    0.449 |  1.45 |  0.094 |
| 1021 | SPAT1535-SLIT1021-DET01 |      1534.7 |        0.754 |      3.00 |    1.817 |  4.13 |  0.094 |
