| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1021 | SPAT0722-SLIT1021-DET01 |       722.3 |        0.352 |      3.00 |    0.986 | 11.85 |  0.095 |
| 1021 | SPAT0884-SLIT1021-DET01 |       884.4 |        0.432 |      3.00 |   13.064 |  4.91 |  0.095 |
| 1021 | SPAT0890-SLIT1021-DET01 |       889.8 |        0.435 |      3.00 |   17.109 |  4.54 |  0.095 |
| 1021 | SPAT0926-SLIT1021-DET01 |       926.4 |        0.453 |      3.00 |   39.920 |  8.46 |  0.095 |
| 1021 | SPAT0972-SLIT1021-DET01 |       971.6 |        0.476 |      3.00 |    3.580 |  3.27 |  0.095 |
| 1021 | SPAT0997-SLIT1021-DET01 |       996.8 |        0.488 |      3.00 |    8.195 |  5.90 |  0.095 |
| 1021 | SPAT1016-SLIT1021-DET01 |      1015.7 |        0.497 |      3.00 |    3.276 |  2.52 |  0.095 |
| 1021 | SPAT1034-SLIT1021-DET01 |      1033.8 |        0.506 |      3.00 |    0.840 | 22.72 |  0.095 |
| 1021 | SPAT1059-SLIT1021-DET01 |      1059.5 |        0.519 |      3.00 |    3.923 |  1.68 |  0.095 |
| 1021 | SPAT1851-SLIT1021-DET01 |      1851.2 |        0.910 |      3.00 |    4.861 |  7.25 |  0.095 |
