| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1021 | SPAT0885-SLIT1021-DET01 |       884.8 |        0.433 |      3.00 |   52.136 | 20.74 |  0.085 |
| 1021 | SPAT0906-SLIT1021-DET01 |       905.8 |        0.443 |      3.00 |   59.309 | 22.28 |  0.085 |
| 1021 | SPAT0926-SLIT1021-DET01 |       926.3 |        0.453 |      3.00 |   65.628 | 21.16 |  0.085 |
| 1021 | SPAT0972-SLIT1021-DET01 |       971.6 |        0.476 |      3.00 |    2.796 | 10.53 |  0.085 |
| 1021 | SPAT1001-SLIT1021-DET01 |      1001.0 |        0.490 |      3.00 |  158.136 | 19.64 |  0.085 |
| 1021 | SPAT1015-SLIT1021-DET01 |      1015.2 |        0.497 |      3.00 |    7.049 | 15.49 |  0.085 |
| 1021 | SPAT1060-SLIT1021-DET01 |      1059.6 |        0.519 |      3.00 |    2.914 |  7.20 |  0.085 |
| 1021 | SPAT1104-SLIT1021-DET01 |      1104.1 |        0.541 |      3.00 |  178.721 | 20.83 |  0.085 |
| 1021 | SPAT1148-SLIT1021-DET01 |      1148.3 |        0.563 |      3.00 |   30.752 | 23.05 |  0.085 |
| 1021 | SPAT1971-SLIT1021-DET01 |      1971.3 |        0.970 |      3.00 |    6.729 |  6.37 |  0.085 |
