| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
| 1021 | SPAT0061-SLIT1021-DET01 |        61.0 |        0.026 |      3.00 |    3.855 |   1.07 |  0.070 |
| 1021 | SPAT0695-SLIT1021-DET01 |       694.6 |        0.338 |      3.00 |    3.464 |  12.22 |  0.070 |
| 1021 | SPAT0844-SLIT1021-DET01 |       843.7 |        0.412 |      3.00 |    0.787 |  28.51 |  0.070 |
| 1021 | SPAT1225-SLIT1021-DET01 |      1225.3 |        0.601 |      3.00 |    1.402 |  16.12 |  0.070 |
| 1021 | SPAT1315-SLIT1021-DET01 |      1314.8 |        0.644 |      3.00 |  198.736 |  80.28 |  0.070 |
| 1021 | SPAT1319-SLIT1021-DET01 |      1319.0 |        0.647 |      3.00 |  193.872 |  68.11 |  0.070 |
| 1021 | SPAT1363-SLIT1021-DET01 |      1362.8 |        0.669 |      3.00 |   95.533 | 101.15 |  0.070 |
| 1021 | SPAT1374-SLIT1021-DET01 |      1373.9 |        0.675 |      3.00 |   55.565 |  70.84 |  0.070 |
| 1021 | SPAT1405-SLIT1021-DET01 |      1405.3 |        0.689 |      3.00 |  143.909 |  69.17 |  0.070 |
| 1021 | SPAT1602-SLIT1021-DET01 |      1602.3 |        0.788 |      3.00 |    2.808 |  16.87 |  0.070 |
