| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
| 1021 | SPAT0886-SLIT1021-DET01 |       885.8 |        0.434 |      3.00 |    9.733 | 5.13 |  0.070 |
| 1021 | SPAT0972-SLIT1021-DET01 |       972.2 |        0.477 |      3.00 |   12.585 | 6.00 |  0.070 |
| 1021 | SPAT0977-SLIT1021-DET01 |       977.3 |        0.478 |      3.00 |  135.308 | 6.55 |  0.070 |
| 1021 | SPAT0994-SLIT1021-DET01 |       993.7 |        0.486 |      3.00 |   71.036 | 8.58 |  0.070 |
| 1021 | SPAT1015-SLIT1021-DET01 |      1014.7 |        0.497 |      3.00 |   15.199 | 3.71 |  0.070 |
| 1021 | SPAT1149-SLIT1021-DET01 |      1148.9 |        0.564 |      3.00 |    7.792 | 1.39 |  0.070 |
| 1021 | SPAT1811-SLIT1021-DET01 |      1810.9 |        0.891 |      3.00 |    0.916 | 1.50 |  0.070 |
| 1021 | SPAT1946-SLIT1021-DET01 |      1945.6 |        0.957 |      3.00 |    1.141 | 1.83 |  0.070 |
| 1021 | SPAT1972-SLIT1021-DET01 |      1971.7 |        0.971 |      3.00 |   10.912 | 5.39 |  0.070 |
| 1021 | SPAT1987-SLIT1021-DET01 |      1987.3 |        0.978 |      3.00 |   25.516 | 6.93 |  0.070 |
