| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n |
| 1068 | SPAT0198-SLIT1068-DET01 |       198.4 |        0.089 |      3.00 |    1.239 |   0.92 |
| 1068 | SPAT0707-SLIT1068-DET01 |       707.0 |        0.329 |      3.00 |    5.739 |   0.22 |
| 1068 | SPAT0860-SLIT1068-DET01 |       859.9 |        0.402 |      3.00 |    0.981 | 254.73 |
| 1068 | SPAT1004-SLIT1068-DET01 |      1004.0 |        0.470 |      3.00 |    2.725 |   0.48 |
| 1068 | SPAT1081-SLIT1068-DET01 |      1080.5 |        0.506 |      3.00 |    1.055 |   0.52 |
| 1068 | SPAT1192-SLIT1068-DET01 |      1191.5 |        0.559 |      3.00 |    1.870 |   0.70 |
| 1068 | SPAT1367-SLIT1068-DET01 |      1366.9 |        0.642 |      3.00 |    2.950 |   0.74 |
| 1068 | SPAT1688-SLIT1068-DET01 |      1687.6 |        0.793 |      3.00 |    2.443 |   0.90 |
| 1068 | SPAT1955-SLIT1068-DET01 |      1954.9 |        0.920 |      3.00 |    2.101 |   1.51 |
| 1068 | SPAT1979-SLIT1068-DET01 |      1978.6 |        0.930 |      3.00 |    7.375 |   2.19 |
