| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1064 | SPAT0973-SLIT1064-DET01 |       972.6 |        0.456 |      3.00 |    3.950 | 1.18 |
| 1064 | SPAT1115-SLIT1064-DET01 |      1114.8 |        0.524 |      3.00 |   11.628 | 1.40 |
| 1064 | SPAT1118-SLIT1064-DET01 |      1118.2 |        0.526 |      3.00 |   11.507 | 1.50 |
| 1064 | SPAT1132-SLIT1064-DET01 |      1132.4 |        0.532 |      3.00 |   11.206 | 1.82 |
| 1064 | SPAT1214-SLIT1064-DET01 |      1213.8 |        0.571 |      3.00 |   16.015 | 0.82 |
| 1064 | SPAT1240-SLIT1064-DET01 |      1240.0 |        0.583 |      3.00 |   13.497 | 1.38 |
| 1064 | SPAT1251-SLIT1064-DET01 |      1250.5 |        0.588 |      3.00 |   14.812 | 1.29 |
| 1064 | SPAT1267-SLIT1064-DET01 |      1267.0 |        0.596 |      3.00 |   17.055 | 1.38 |
| 1064 | SPAT1278-SLIT1064-DET01 |      1277.6 |        0.601 |      3.00 |   16.041 | 1.06 |
| 1064 | SPAT1534-SLIT1064-DET01 |      1534.4 |        0.723 |      3.00 |    0.963 | 6.70 |
