| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1066 | SPAT0865-SLIT1066-DET01 |       864.5 |        0.404 |      3.00 |    5.476 | 1.90 |
| 1066 | SPAT0880-SLIT1066-DET01 |       879.6 |        0.412 |      3.00 |    6.471 | 1.99 |
| 1066 | SPAT0889-SLIT1066-DET01 |       888.6 |        0.416 |      3.00 |    6.628 | 7.16 |
| 1066 | SPAT0920-SLIT1066-DET01 |       920.2 |        0.431 |      3.00 |    0.634 | 7.50 |
| 1066 | SPAT1506-SLIT1066-DET01 |      1506.1 |        0.709 |      3.00 |   10.197 | 2.77 |
| 1066 | SPAT1610-SLIT1066-DET01 |      1609.7 |        0.757 |      3.00 |   12.608 | 3.33 |
| 1066 | SPAT1627-SLIT1066-DET01 |      1626.7 |        0.765 |      3.00 |   10.980 | 3.91 |
| 1066 | SPAT1636-SLIT1066-DET01 |      1636.5 |        0.770 |      3.00 |   12.694 | 3.84 |
| 1066 | SPAT1652-SLIT1066-DET01 |      1651.9 |        0.777 |      3.00 |   12.328 | 3.03 |
| 1066 | SPAT2011-SLIT1066-DET01 |      2011.1 |        0.947 |      3.00 |   12.563 | 3.85 |
