| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1066 | SPAT0450-SLIT1066-DET01 |       449.8 |        0.209 |      3.00 |   15.025 | 4.08 |
| 1066 | SPAT0867-SLIT1066-DET01 |       866.9 |        0.405 |      3.00 |   15.186 | 4.91 |
| 1066 | SPAT0921-SLIT1066-DET01 |       920.9 |        0.431 |      3.00 |    0.652 | 6.38 |
| 1066 | SPAT1603-SLIT1066-DET01 |      1602.8 |        0.754 |      3.00 |   12.560 | 4.63 |
| 1066 | SPAT1610-SLIT1066-DET01 |      1610.4 |        0.757 |      3.00 |   12.842 | 5.13 |
| 1066 | SPAT1628-SLIT1066-DET01 |      1628.3 |        0.765 |      3.00 |   12.425 | 5.72 |
| 1066 | SPAT1639-SLIT1066-DET01 |      1638.9 |        0.771 |      3.00 |   12.656 | 5.89 |
| 1066 | SPAT1651-SLIT1066-DET01 |      1650.6 |        0.776 |      3.00 |   11.840 | 5.51 |
| 1066 | SPAT1997-SLIT1066-DET01 |      1997.2 |        0.940 |      3.00 |   13.109 | 5.05 |
| 1066 | SPAT2015-SLIT1066-DET01 |      2015.4 |        0.949 |      3.00 |   14.506 | 5.16 |
