| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1077 | SPAT0324-SLIT1077-DET01 |       323.9 |        0.147 |      3.00 |   10.394 |  1.85 |
| 1077 | SPAT0629-SLIT1077-DET01 |       628.5 |        0.290 |      3.00 |    8.796 |  1.47 |
| 1077 | SPAT0931-SLIT1077-DET01 |       930.9 |        0.432 |      3.00 |    0.588 |  6.63 |
| 1077 | SPAT1765-SLIT1077-DET01 |      1764.6 |        0.822 |      3.00 |   20.878 |  8.14 |
| 1077 | SPAT1863-SLIT1077-DET01 |      1862.6 |        0.868 |      3.00 |   11.867 | 11.64 |
| 1077 | SPAT1866-SLIT1077-DET01 |      1866.2 |        0.870 |      3.00 |   11.953 | 11.57 |
| 1077 | SPAT1889-SLIT1077-DET01 |      1888.6 |        0.881 |      3.00 |   12.091 |  9.21 |
| 1077 | SPAT1907-SLIT1077-DET01 |      1907.4 |        0.889 |      3.00 |   15.384 | 11.05 |
| 1077 | SPAT2036-SLIT1077-DET01 |      2036.4 |        0.950 |      3.00 |   12.198 |  5.54 |
| 1077 | SPAT2052-SLIT1077-DET01 |      2052.3 |        0.957 |      3.00 |   11.741 |  5.50 |
