| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1078 | SPAT0325-SLIT1078-DET01 |       324.9 |        0.147 |      3.00 |    2.398 |  0.96 |
| 1078 | SPAT0932-SLIT1078-DET01 |       932.0 |        0.432 |      3.00 |    0.627 | 10.16 |
| 1078 | SPAT1266-SLIT1078-DET01 |      1265.9 |        0.588 |      3.00 |   13.327 |  3.14 |
| 1078 | SPAT1273-SLIT1078-DET01 |      1273.0 |        0.592 |      3.00 |   11.319 |  3.28 |
| 1078 | SPAT1523-SLIT1078-DET01 |      1523.0 |        0.709 |      3.00 |    9.762 |  2.64 |
| 1078 | SPAT1767-SLIT1078-DET01 |      1766.8 |        0.823 |      3.00 |    1.451 |  1.45 |
| 1078 | SPAT2037-SLIT1078-DET01 |      2037.1 |        0.950 |      3.00 |    9.204 |  2.85 |
| 1078 | SPAT2051-SLIT1078-DET01 |      2051.3 |        0.957 |      3.00 |    9.622 |  3.14 |
| 1078 | SPAT2073-SLIT1078-DET01 |      2073.0 |        0.966 |      3.00 |    9.720 |  2.86 |
| 1078 | SPAT2078-SLIT1078-DET01 |      2078.0 |        0.968 |      3.00 |    9.652 |  2.86 |
