| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1021 | SPAT1079-SLIT1021-DET01 |      1079.0 |        0.529 |      3.00 |    0.597 | 78.01 |  0.058 |
| 1021 | SPAT1124-SLIT1021-DET01 |      1124.2 |        0.551 |      3.00 |    0.608 | 78.39 |  0.058 |
| 1021 | SPAT1422-SLIT1021-DET01 |      1421.8 |        0.698 |      3.00 |   10.728 |  3.43 |  0.058 |
| 1021 | SPAT1429-SLIT1021-DET01 |      1428.6 |        0.702 |      3.00 |   10.710 |  3.33 |  0.058 |
| 1021 | SPAT1606-SLIT1021-DET01 |      1605.6 |        0.789 |      3.00 |    9.572 |  3.00 |  0.058 |
| 1021 | SPAT1618-SLIT1021-DET01 |      1618.4 |        0.796 |      3.00 |    9.855 |  3.13 |  0.058 |
| 1021 | SPAT1619-SLIT1021-DET01 |      1618.7 |        0.796 |      3.00 |    9.797 |  3.11 |  0.058 |
| 1021 | SPAT1643-SLIT1021-DET01 |      1642.8 |        0.808 |      3.00 |   10.063 |  3.16 |  0.058 |
| 1021 | SPAT1651-SLIT1021-DET01 |      1651.3 |        0.812 |      3.00 |    9.314 |  2.99 |  0.058 |
| 1021 | SPAT1775-SLIT1021-DET01 |      1775.2 |        0.873 |      3.00 |   10.398 |  2.86 |  0.058 |
