| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
| 1021 | SPAT0491-SLIT1021-DET01 |       490.7 |        0.237 |      3.00 |   10.323 | 2.50 |  0.070 |
| 1021 | SPAT0843-SLIT1021-DET01 |       842.9 |        0.412 |      3.00 |    9.661 | 2.51 |  0.070 |
| 1021 | SPAT0860-SLIT1021-DET01 |       859.9 |        0.420 |      3.00 |   10.102 | 2.94 |  0.070 |
| 1021 | SPAT0871-SLIT1021-DET01 |       870.9 |        0.426 |      3.00 |   10.054 | 3.50 |  0.070 |
| 1021 | SPAT0886-SLIT1021-DET01 |       885.5 |        0.433 |      3.00 |   33.526 | 2.02 |  0.070 |
| 1021 | SPAT1668-SLIT1021-DET01 |      1667.9 |        0.820 |      3.00 |   10.570 | 2.45 |  0.070 |
| 1021 | SPAT1681-SLIT1021-DET01 |      1680.8 |        0.827 |      3.00 |   11.055 | 2.83 |  0.070 |
| 1021 | SPAT1691-SLIT1021-DET01 |      1691.2 |        0.831 |      3.00 |    9.699 | 2.77 |  0.070 |
| 1021 | SPAT1702-SLIT1021-DET01 |      1701.8 |        0.837 |      3.00 |   10.360 | 2.82 |  0.070 |
| 1021 | SPAT1717-SLIT1021-DET01 |      1716.9 |        0.844 |      3.00 |   10.148 | 2.50 |  0.070 |
