| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
| 1021 | SPAT0264-SLIT1021-DET01 |       264.0 |        0.125 |      3.00 |   82.793 |  -6.46 |  0.059 |
| 1021 | SPAT0282-SLIT1021-DET01 |       282.3 |        0.134 |      3.00 |   17.790 |  -5.01 |  0.059 |
| 1021 | SPAT0302-SLIT1021-DET01 |       301.6 |        0.144 |      3.00 |   73.697 |  -3.44 |  0.059 |
| 1021 | SPAT0305-SLIT1021-DET01 |       305.3 |        0.146 |      3.00 |   17.945 |  -7.09 |  0.059 |
| 1021 | SPAT0388-SLIT1021-DET01 |       387.8 |        0.187 |      3.00 |   10.916 |  -5.17 |  0.059 |
| 1021 | SPAT0409-SLIT1021-DET01 |       408.8 |        0.196 |      3.00 |   11.555 |  -4.14 |  0.059 |
| 1021 | SPAT0418-SLIT1021-DET01 |       418.3 |        0.202 |      3.00 |   10.674 |  -5.20 |  0.059 |
| 1021 | SPAT0436-SLIT1021-DET01 |       436.1 |        0.211 |      3.00 |    8.628 |  -8.43 |  0.059 |
| 1021 | SPAT0710-SLIT1021-DET01 |       709.7 |        0.346 |      3.00 |    3.969 | -12.18 |  0.059 |
| 1021 | SPAT0914-SLIT1021-DET01 |       913.6 |        0.447 |      3.00 |    0.409 |  18.56 |  0.059 |
