| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1021 | SPAT0451-SLIT1021-DET01 |       451.0 |        0.218 |      3.00 |   16.697 |  4.60 |  0.037 |
| 1021 | SPAT0460-SLIT1021-DET01 |       460.2 |        0.222 |      3.00 |   16.832 |  5.94 |  0.037 |
| 1021 | SPAT0472-SLIT1021-DET01 |       471.9 |        0.228 |      3.00 |   15.775 |  5.50 |  0.037 |
| 1021 | SPAT0490-SLIT1021-DET01 |       490.3 |        0.237 |      3.00 |   14.447 |  6.68 |  0.037 |
| 1021 | SPAT0501-SLIT1021-DET01 |       501.3 |        0.243 |      3.00 |   28.480 |  6.21 |  0.037 |
| 1021 | SPAT0591-SLIT1021-DET01 |       591.2 |        0.287 |      3.00 |   27.618 |  6.10 |  0.037 |
| 1021 | SPAT0600-SLIT1021-DET01 |       600.4 |        0.292 |      3.00 |   14.310 |  4.88 |  0.037 |
| 1021 | SPAT0606-SLIT1021-DET01 |       605.9 |        0.295 |      3.00 |   13.265 |  4.61 |  0.037 |
| 1021 | SPAT0629-SLIT1021-DET01 |       628.8 |        0.306 |      3.00 |   31.457 |  4.18 |  0.037 |
| 1021 | SPAT0771-SLIT1021-DET01 |       770.6 |        0.376 |      3.00 |    0.474 | 11.28 |  0.037 |
