| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n |
| 1032 | SPAT0074-SLIT1032-DET01 |        73.6 |        0.031 |      3.00 |    3.029 | -48.40 |
| 1032 | SPAT0454-SLIT1032-DET01 |       453.7 |        0.217 |      3.00 |    3.711 |   1.52 |
| 1032 | SPAT0641-SLIT1032-DET01 |       641.4 |        0.309 |      3.00 |    4.041 |   1.14 |
| 1032 | SPAT0776-SLIT1032-DET01 |       775.9 |        0.375 |      3.00 |    1.977 |   1.49 |
| 1032 | SPAT0920-SLIT1032-DET01 |       920.1 |        0.445 |      3.00 |    0.719 |  31.80 |
| 1032 | SPAT1032-SLIT1032-DET01 |      1032.2 |        0.500 |      3.00 |    3.587 |   2.50 |
| 1032 | SPAT1216-SLIT1032-DET01 |      1216.0 |        0.590 |      3.00 |    1.151 |   2.70 |
| 1032 | SPAT1354-SLIT1032-DET01 |      1354.5 |        0.658 |      3.00 |    2.749 |   1.55 |
| 1032 | SPAT1610-SLIT1032-DET01 |      1609.7 |        0.783 |      3.00 |    3.593 |   1.43 |
| 1032 | SPAT1983-SLIT1032-DET01 |      1983.0 |        0.965 |      3.00 |    0.635 |   1.52 |
