| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1032 | SPAT0133-SLIT1032-DET01 |       133.2 |        0.060 |      3.00 |   11.717 |  3.77 |
| 1032 | SPAT0153-SLIT1032-DET01 |       153.0 |        0.070 |      3.00 |   10.386 |  3.91 |
| 1032 | SPAT0165-SLIT1032-DET01 |       165.2 |        0.076 |      3.00 |   11.014 |  3.77 |
| 1032 | SPAT0179-SLIT1032-DET01 |       179.2 |        0.082 |      3.00 |   10.990 |  3.37 |
| 1032 | SPAT0462-SLIT1032-DET01 |       461.9 |        0.221 |      3.00 |    9.488 |  2.84 |
| 1032 | SPAT0476-SLIT1032-DET01 |       476.4 |        0.228 |      3.00 |    9.649 |  2.53 |
| 1032 | SPAT0500-SLIT1032-DET01 |       499.9 |        0.240 |      3.00 |   13.528 |  2.66 |
| 1032 | SPAT0833-SLIT1032-DET01 |       833.2 |        0.403 |      3.00 |    0.709 |  2.44 |
| 1032 | SPAT1551-SLIT1032-DET01 |      1550.9 |        0.754 |      3.00 |   14.454 |  3.82 |
| 1032 | SPAT1933-SLIT1032-DET01 |      1933.2 |        0.941 |      3.00 |   22.852 | 11.45 |
