| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1035 | SPAT0770-SLIT1035-DET01 |       770.0 |        0.371 |      3.00 |    4.577 |  0.87 |
| 1035 | SPAT0852-SLIT1035-DET01 |       852.3 |        0.411 |      3.00 |    0.752 | 33.41 |
| 1035 | SPAT0906-SLIT1035-DET01 |       906.0 |        0.437 |      3.00 |    3.930 |  0.47 |
| 1035 | SPAT0909-SLIT1035-DET01 |       909.3 |        0.439 |      3.00 |    4.046 |  0.46 |
| 1035 | SPAT0957-SLIT1035-DET01 |       957.2 |        0.462 |      3.00 |    1.731 |  0.13 |
| 1035 | SPAT1051-SLIT1035-DET01 |      1051.4 |        0.508 |      3.00 |    0.449 |  0.09 |
| 1035 | SPAT1096-SLIT1035-DET01 |      1095.6 |        0.529 |      3.00 |    4.804 |  0.73 |
| 1035 | SPAT1106-SLIT1035-DET01 |      1106.1 |        0.534 |      3.00 |    4.964 |  0.64 |
| 1035 | SPAT1218-SLIT1035-DET01 |      1217.6 |        0.589 |      3.00 |    4.898 |  0.17 |
| 1035 | SPAT1234-SLIT1035-DET01 |      1234.0 |        0.597 |      3.00 |    4.969 |  0.24 |
