| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1066 | SPAT0072-SLIT1066-DET01 |        72.2 |        0.030 |      3.00 |    4.281 |  0.38 |
| 1066 | SPAT0280-SLIT1066-DET01 |       279.8 |        0.128 |      3.00 |    2.245 |  0.60 |
| 1066 | SPAT0313-SLIT1066-DET01 |       313.4 |        0.144 |      3.00 |    1.166 |  0.27 |
| 1066 | SPAT0468-SLIT1066-DET01 |       468.5 |        0.217 |      3.00 |   11.339 |  0.99 |
| 1066 | SPAT0475-SLIT1066-DET01 |       474.7 |        0.220 |      3.00 |   11.319 |  1.17 |
| 1066 | SPAT0485-SLIT1066-DET01 |       485.1 |        0.225 |      3.00 |   11.345 |  1.17 |
| 1066 | SPAT0921-SLIT1066-DET01 |       920.6 |        0.431 |      3.00 |    0.611 | 18.20 |
| 1066 | SPAT1082-SLIT1066-DET01 |      1081.6 |        0.507 |      3.00 |    1.517 |  0.73 |
| 1066 | SPAT1755-SLIT1066-DET01 |      1755.4 |        0.826 |      3.00 |    1.046 |  0.82 |
| 1066 | SPAT2018-SLIT1066-DET01 |      2018.3 |        0.951 |      3.00 |    8.655 |  1.54 |
