| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1021 | SPAT0194-SLIT1021-DET01 |       193.9 |        0.091 |      3.00 |   22.084 | 11.12 |  0.063 |
| 1021 | SPAT0209-SLIT1021-DET01 |       208.6 |        0.098 |      3.00 |   19.976 | 11.67 |  0.063 |
| 1021 | SPAT0244-SLIT1021-DET01 |       244.3 |        0.116 |      3.00 |   21.117 |  9.89 |  0.063 |
| 1021 | SPAT0457-SLIT1021-DET01 |       457.5 |        0.221 |      3.00 |    9.944 |  4.59 |  0.063 |
| 1021 | SPAT0475-SLIT1021-DET01 |       475.0 |        0.230 |      3.00 |   10.134 |  4.67 |  0.063 |
| 1021 | SPAT0486-SLIT1021-DET01 |       486.4 |        0.235 |      3.00 |   10.341 |  4.99 |  0.063 |
| 1021 | SPAT0498-SLIT1021-DET01 |       498.0 |        0.241 |      3.00 |   10.334 |  4.71 |  0.063 |
| 1021 | SPAT0943-SLIT1021-DET01 |       942.7 |        0.461 |      3.00 |    0.485 | 18.31 |  0.063 |
| 1021 | SPAT1060-SLIT1021-DET01 |      1059.7 |        0.519 |      3.00 |   10.951 |  3.21 |  0.063 |
| 1021 | SPAT1839-SLIT1021-DET01 |      1839.2 |        0.905 |      3.00 |   13.394 |  3.18 |  0.063 |
