| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n |
| 1043 | SPAT0517-SLIT1043-DET01 |       517.3 |        0.246 |      3.00 |    7.601 |   1.15 |
| 1043 | SPAT0527-SLIT1043-DET01 |       526.9 |        0.250 |      3.00 |    7.730 |   1.30 |
| 1043 | SPAT0845-SLIT1043-DET01 |       844.7 |        0.404 |      3.00 |    0.574 | 100.44 |
| 1043 | SPAT0994-SLIT1043-DET01 |       994.5 |        0.476 |      3.00 |    7.372 |   0.88 |
| 1043 | SPAT1226-SLIT1043-DET01 |      1226.4 |        0.589 |      3.00 |    1.376 |   2.83 |
| 1043 | SPAT1353-SLIT1043-DET01 |      1353.0 |        0.650 |      3.00 |    7.509 |   1.06 |
| 1043 | SPAT1355-SLIT1043-DET01 |      1354.8 |        0.652 |      3.00 |    7.534 |   1.14 |
| 1043 | SPAT1730-SLIT1043-DET01 |      1729.9 |        0.833 |      3.00 |    7.933 |   1.03 |
| 1043 | SPAT1740-SLIT1043-DET01 |      1740.1 |        0.837 |      3.00 |    7.812 |   1.36 |
| 1043 | SPAT1755-SLIT1043-DET01 |      1755.0 |        0.844 |      3.00 |    7.816 |   1.29 |
