| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1044 | SPAT0045-SLIT1044-DET01 |        45.0 |        0.017 |      3.00 |    0.930 | 1.07 |
| 1044 | SPAT0064-SLIT1044-DET01 |        64.0 |        0.026 |      3.00 |    2.090 | 0.18 |
| 1044 | SPAT0329-SLIT1044-DET01 |       329.4 |        0.155 |      3.00 |    1.024 | 0.35 |
| 1044 | SPAT0412-SLIT1044-DET01 |       411.9 |        0.194 |      3.00 |    5.305 | 0.45 |
| 1044 | SPAT0510-SLIT1044-DET01 |       510.1 |        0.242 |      3.00 |    0.449 | 0.32 |
| 1044 | SPAT0622-SLIT1044-DET01 |       621.8 |        0.296 |      3.00 |    4.712 | 0.34 |
| 1044 | SPAT0632-SLIT1044-DET01 |       632.1 |        0.301 |      3.00 |    4.546 | 0.38 |
| 1044 | SPAT0650-SLIT1044-DET01 |       650.4 |        0.310 |      3.00 |    3.344 | 0.38 |
| 1044 | SPAT0656-SLIT1044-DET01 |       655.6 |        0.312 |      3.00 |    9.256 | 0.18 |
| 1044 | SPAT0715-SLIT1044-DET01 |       714.6 |        0.341 |      3.00 |    1.098 | 2.56 |
| 1044 | SPAT0838-SLIT1044-DET01 |       838.0 |        0.400 |      3.00 |   10.377 | 2.00 |
| 1044 | SPAT0849-SLIT1044-DET01 |       849.1 |        0.406 |      3.00 |   10.691 | 2.01 |
| 1044 | SPAT0865-SLIT1044-DET01 |       865.3 |        0.414 |      3.00 |   10.834 | 1.38 |
| 1044 | SPAT1200-SLIT1044-DET01 |      1200.2 |        0.576 |      3.00 |    2.856 | 0.31 |
| 1044 | SPAT1286-SLIT1044-DET01 |      1286.2 |        0.617 |      3.00 |    7.215 | 0.39 |
| 1044 | SPAT1307-SLIT1044-DET01 |      1307.0 |        0.627 |      3.00 |    7.430 | 0.33 |
| 1044 | SPAT1428-SLIT1044-DET01 |      1427.6 |        0.686 |      3.00 |    7.728 | 0.51 |
| 1044 | SPAT1442-SLIT1044-DET01 |      1441.5 |        0.693 |      3.00 |    7.926 | 0.37 |
| 1044 | SPAT1930-SLIT1044-DET01 |      1930.3 |        0.929 |      3.00 |    7.472 | 0.63 |
| 1044 | SPAT1942-SLIT1044-DET01 |      1942.1 |        0.935 |      3.00 |    8.328 | 0.54 |
