| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1044 | SPAT0716-SLIT1044-DET01 |       715.9 |        0.341 |      3.00 |    4.067 |  0.27 |
| 1044 | SPAT0836-SLIT1044-DET01 |       835.9 |        0.399 |      3.00 |    8.098 |  1.24 |
| 1044 | SPAT0842-SLIT1044-DET01 |       841.5 |        0.403 |      3.00 |    7.897 |  1.59 |
| 1044 | SPAT0862-SLIT1044-DET01 |       861.9 |        0.412 |      3.00 |    7.900 |  1.43 |
| 1044 | SPAT0977-SLIT1044-DET01 |       977.2 |        0.468 |      3.00 |    0.623 | 33.80 |
| 1044 | SPAT1058-SLIT1044-DET01 |      1058.2 |        0.507 |      3.00 |    1.218 |  0.59 |
| 1044 | SPAT1076-SLIT1044-DET01 |      1075.7 |        0.516 |      3.00 |    7.408 |  0.44 |
| 1044 | SPAT1082-SLIT1044-DET01 |      1082.1 |        0.519 |      3.00 |    7.570 |  0.32 |
| 1044 | SPAT1175-SLIT1044-DET01 |      1174.9 |        0.563 |      3.00 |    3.952 |  0.20 |
| 1044 | SPAT1190-SLIT1044-DET01 |      1190.0 |        0.571 |      3.00 |    2.364 |  0.16 |
