| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1044 | SPAT0192-SLIT1044-DET01 |       192.1 |        0.088 |      3.00 |    5.011 |  0.01 |
| 1044 | SPAT0253-SLIT1044-DET01 |       253.3 |        0.118 |      3.00 |    0.491 | 10.32 |
| 1044 | SPAT0395-SLIT1044-DET01 |       395.1 |        0.186 |      3.00 |    6.032 |  0.63 |
| 1044 | SPAT0407-SLIT1044-DET01 |       407.0 |        0.192 |      3.00 |    6.298 |  0.78 |
| 1044 | SPAT0418-SLIT1044-DET01 |       417.7 |        0.197 |      3.00 |    6.272 |  0.64 |
| 1044 | SPAT0489-SLIT1044-DET01 |       488.9 |        0.232 |      3.00 |    1.192 |  0.26 |
| 1044 | SPAT0512-SLIT1044-DET01 |       512.3 |        0.243 |      3.00 |    8.009 |  0.92 |
| 1044 | SPAT0529-SLIT1044-DET01 |       528.9 |        0.251 |      3.00 |    8.305 |  1.26 |
| 1044 | SPAT0547-SLIT1044-DET01 |       546.8 |        0.260 |      3.00 |    8.113 |  1.07 |
| 1044 | SPAT0767-SLIT1044-DET01 |       767.0 |        0.366 |      3.00 |    8.119 |  0.61 |
| 1044 | SPAT0778-SLIT1044-DET01 |       777.8 |        0.371 |      3.00 |    8.305 |  0.77 |
| 1044 | SPAT0791-SLIT1044-DET01 |       790.7 |        0.378 |      3.00 |    7.896 |  0.77 |
| 1044 | SPAT0799-SLIT1044-DET01 |       798.8 |        0.381 |      3.00 |    8.262 |  0.67 |
| 1044 | SPAT0960-SLIT1044-DET01 |       959.6 |        0.460 |      3.00 |    8.031 |  0.64 |
| 1044 | SPAT0973-SLIT1044-DET01 |       973.0 |        0.466 |      3.00 |    7.959 |  0.89 |
| 1044 | SPAT0989-SLIT1044-DET01 |       989.2 |        0.474 |      3.00 |    7.790 |  0.75 |
| 1044 | SPAT1059-SLIT1044-DET01 |      1059.3 |        0.508 |      3.00 |    0.520 |  0.30 |
| 1044 | SPAT1157-SLIT1044-DET01 |      1156.6 |        0.555 |      3.00 |    8.397 |  0.41 |
| 1044 | SPAT1169-SLIT1044-DET01 |      1168.9 |        0.561 |      3.00 |    8.569 |  0.64 |
| 1044 | SPAT1191-SLIT1044-DET01 |      1190.6 |        0.571 |      3.00 |    2.862 |  0.50 |
