| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1074 | SPAT0089-SLIT1074-DET01 |        88.7 |        0.037 |      3.00 |    9.599 |  1.19 |
| 1074 | SPAT0105-SLIT1074-DET01 |       105.4 |        0.045 |      3.00 |   10.948 |  1.09 |
| 1074 | SPAT0770-SLIT1074-DET01 |       770.0 |        0.357 |      3.00 |    4.333 |  6.39 |
| 1074 | SPAT0850-SLIT1074-DET01 |       850.2 |        0.395 |      3.00 |    0.715 | 22.02 |
| 1074 | SPAT1064-SLIT1074-DET01 |      1064.0 |        0.495 |      3.00 |    0.950 |  0.93 |
| 1074 | SPAT1089-SLIT1074-DET01 |      1089.3 |        0.507 |      3.00 |    0.943 |  1.15 |
| 1074 | SPAT1511-SLIT1074-DET01 |      1510.8 |        0.705 |      3.00 |    6.468 |  1.55 |
| 1074 | SPAT1527-SLIT1074-DET01 |      1527.1 |        0.713 |      3.00 |    7.112 |  1.41 |
| 1074 | SPAT1663-SLIT1074-DET01 |      1663.2 |        0.777 |      3.00 |    1.503 |  1.24 |
| 1074 | SPAT2042-SLIT1074-DET01 |      2042.2 |        0.955 |      3.00 |    5.209 |  1.11 |
