| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
| 1021 | SPAT0133-SLIT1021-DET01 |       132.5 |        0.060 |      3.00 |   68.064 |  32.27 |  0.082 |
| 1021 | SPAT0145-SLIT1021-DET01 |       144.9 |        0.066 |      3.00 |   62.039 |  22.89 |  0.082 |
| 1021 | SPAT0195-SLIT1021-DET01 |       195.0 |        0.091 |      3.00 |   48.694 |  21.38 |  0.082 |
| 1021 | SPAT0209-SLIT1021-DET01 |       209.4 |        0.099 |      3.00 |   45.553 |  35.76 |  0.082 |
| 1021 | SPAT0219-SLIT1021-DET01 |       219.5 |        0.103 |      3.00 |   42.224 |  21.12 |  0.082 |
| 1021 | SPAT0231-SLIT1021-DET01 |       230.7 |        0.109 |      3.00 |   37.437 |  20.50 |  0.082 |
| 1021 | SPAT0243-SLIT1021-DET01 |       242.8 |        0.115 |      3.00 |   33.533 |  20.01 |  0.082 |
| 1021 | SPAT0942-SLIT1021-DET01 |       942.0 |        0.461 |      3.00 |    0.620 | 153.66 |  0.082 |
| 1021 | SPAT1111-SLIT1021-DET01 |      1111.4 |        0.545 |      3.00 |    1.733 |   1.84 |  0.082 |
| 1021 | SPAT1526-SLIT1021-DET01 |      1526.4 |        0.750 |      3.00 |    0.615 |  17.60 |  0.082 |
